Year,Series,Sexo,Tenencia,Territorio,Units,Progress,Value
2023,SP_LGL_LNDAGSEC,M,,,PT,,42.4
2016,SP_LGL_LNDAGSEC,M,,,PT,,50.7
2016,SP_LGL_LNDAGSEC,M,,ES211,PT,,42.6
2013,SP_LGL_LNDAGSEC,M,,ES211,PT,,48.5
2009,SP_LGL_LNDAGSEC,M,,ES211,PT,,49.2
2023,SP_LGL_LNDAGSEC,M,,ES211,PT,,45.6
2023,SP_LGL_LNDAGSEC,M,,ES213,PT,,39.8
2013,SP_LGL_LNDAGSEC,M,,ES213,PT,,61.4
2016,SP_LGL_LNDAGSEC,M,,ES213,PT,,52.9
2009,SP_LGL_LNDAGSEC,M,,ES213,PT,,57.1
2013,SP_LGL_LNDAGSEC,M,,ES212,PT,,56.9
2016,SP_LGL_LNDAGSEC,M,,ES212,PT,,52.8
2023,SP_LGL_LNDAGSEC,M,,ES212,PT,,41.8
2009,SP_LGL_LNDAGSEC,M,,ES212,PT,,53.4
