Year,Series,Territorio,Units,Progress,Value
2011,IC_GEN_MGTL,,PT,68.3,31.7
2023,IC_GEN_MGTL,,PT,66.1,33.9
2021,IC_GEN_MGTL,,PT,67.7,32.3
2014,IC_GEN_MGTL,,PT,71.3,28.7
2022,IC_GEN_MGTL,,PT,67.7,32.3
2016,IC_GEN_MGTL,,PT,65.3,34.7
2017,IC_GEN_MGTL,,PT,64.4,35.6
2020,IC_GEN_MGTL,,PT,68.2,31.8
2012,IC_GEN_MGTL,,PT,71.0,29.0
2010,IC_GEN_MGTL,,PT,71.2,28.8
2019,IC_GEN_MGTL,,PT,65.7,34.3
2013,IC_GEN_MGTL,,PT,68.7,31.3
2024,IC_GEN_MGTL,,PT,65.5,34.5
2015,IC_GEN_MGTL,,PT,63.3,36.7
2018,IC_GEN_MGTL,,PT,64.2,35.8
2023,IC_GEN_MGTL,ES211,PT,63.5,36.5
2024,IC_GEN_MGTL,ES211,PT,62.4,37.6
2020,IC_GEN_MGTL,ES211,PT,73.0,27.0
2015,IC_GEN_MGTL,ES211,PT,64.8,35.2
2013,IC_GEN_MGTL,ES211,PT,70.7,29.3
2021,IC_GEN_MGTL,ES211,PT,71.2,28.8
2019,IC_GEN_MGTL,ES211,PT,71.6,28.4
2011,IC_GEN_MGTL,ES211,PT,74.2,25.8
2014,IC_GEN_MGTL,ES211,PT,73.5,26.5
2022,IC_GEN_MGTL,ES211,PT,68.7,31.3
2010,IC_GEN_MGTL,ES211,PT,71.6,28.4
2016,IC_GEN_MGTL,ES211,PT,72.4,27.6
2012,IC_GEN_MGTL,ES211,PT,75.2,24.8
2017,IC_GEN_MGTL,ES211,PT,63.8,36.2
2018,IC_GEN_MGTL,ES211,PT,60.6,39.4
2013,IC_GEN_MGTL,ES213,PT,69.4,30.6
2017,IC_GEN_MGTL,ES213,PT,64.5,35.5
2014,IC_GEN_MGTL,ES213,PT,73.2,26.8
2020,IC_GEN_MGTL,ES213,PT,68.5,31.5
2019,IC_GEN_MGTL,ES213,PT,64.7,35.3
2024,IC_GEN_MGTL,ES213,PT,66.4,33.6
2018,IC_GEN_MGTL,ES213,PT,64.5,35.5
2015,IC_GEN_MGTL,ES213,PT,62.9,37.1
2016,IC_GEN_MGTL,ES213,PT,65.3,34.7
