Year,Series,Territorio,Units,Progress,Value
2010,IC_GEN_MGTL,ES213,PT,69.6,30.4
2023,IC_GEN_MGTL,ES213,PT,64.3,35.7
2012,IC_GEN_MGTL,ES213,PT,70.6,29.4
2022,IC_GEN_MGTL,ES213,PT,65.5,34.5
2011,IC_GEN_MGTL,ES213,PT,66.8,33.2
2021,IC_GEN_MGTL,ES213,PT,69.8,30.2
2019,IC_GEN_MGTL,ES212,PT,65.3,34.7
2017,IC_GEN_MGTL,ES212,PT,64.6,35.4
2022,IC_GEN_MGTL,ES212,PT,70.2,29.8
2015,IC_GEN_MGTL,ES212,PT,63.4,36.6
2018,IC_GEN_MGTL,ES212,PT,65.0,35.0
2014,IC_GEN_MGTL,ES212,PT,67.5,32.5
2011,IC_GEN_MGTL,ES212,PT,69.0,31.0
2010,IC_GEN_MGTL,ES212,PT,73.6,26.4
2013,IC_GEN_MGTL,ES212,PT,66.7,33.3
2016,IC_GEN_MGTL,ES212,PT,61.4,38.6
2020,IC_GEN_MGTL,ES212,PT,65.7,34.3
2021,IC_GEN_MGTL,ES212,PT,63.0,37.0
2023,IC_GEN_MGTL,ES212,PT,69.7,30.3
2012,IC_GEN_MGTL,ES212,PT,69.6,30.4
2024,IC_GEN_MGTL,ES212,PT,65.2,34.8
2011,IC_GEN_MGTN,,PT,71.9,28.1
2020,IC_GEN_MGTN,,PT,70.2,29.8
2022,IC_GEN_MGTN,,PT,72.3,27.7
2019,IC_GEN_MGTN,,PT,68.6,31.4
2014,IC_GEN_MGTN,,PT,72.8,27.2
2024,IC_GEN_MGTN,,PT,70.0,30.0
2017,IC_GEN_MGTN,,PT,67.7,32.3
2015,IC_GEN_MGTN,,PT,70.5,29.5
2012,IC_GEN_MGTN,,PT,74.3,25.7
2023,IC_GEN_MGTN,,PT,70.5,29.5
2021,IC_GEN_MGTN,,PT,71.4,28.6
2016,IC_GEN_MGTN,,PT,69.8,30.2
2010,IC_GEN_MGTN,,PT,67.5,32.5
2013,IC_GEN_MGTN,,PT,69.4,30.6
2018,IC_GEN_MGTN,,PT,68.1,31.9
2018,IC_GEN_MGTN,ES211,PT,57.7,42.3
2011,IC_GEN_MGTN,ES211,PT,70.4,29.6
2020,IC_GEN_MGTN,ES211,PT,74.9,25.1
2015,IC_GEN_MGTN,ES211,PT,74.5,25.5
2013,IC_GEN_MGTN,ES211,PT,79.9,20.1
2017,IC_GEN_MGTN,ES211,PT,61.3,38.7
2016,IC_GEN_MGTN,ES211,PT,74.0,26.0
2023,IC_GEN_MGTN,ES211,PT,69.8,30.2
2022,IC_GEN_MGTN,ES211,PT,75.4,24.6
2010,IC_GEN_MGTN,ES211,PT,65.4,34.6
2012,IC_GEN_MGTN,ES211,PT,88.3,11.7
2014,IC_GEN_MGTN,ES211,PT,80.1,19.9
2019,IC_GEN_MGTN,ES211,PT,76.7,23.3
2024,IC_GEN_MGTN,ES211,PT,68.5,31.5
2021,IC_GEN_MGTN,ES211,PT,75.7,24.3
2017,IC_GEN_MGTN,ES213,PT,70.7,29.3
2021,IC_GEN_MGTN,ES213,PT,70.5,29.5
2024,IC_GEN_MGTN,ES213,PT,70.1,29.9
2015,IC_GEN_MGTN,ES213,PT,67.7,32.3
2023,IC_GEN_MGTN,ES213,PT,68.3,31.7
2022,IC_GEN_MGTN,ES213,PT,68.9,31.1
2020,IC_GEN_MGTN,ES213,PT,67.2,32.8
2019,IC_GEN_MGTN,ES213,PT,65.5,34.5
2016,IC_GEN_MGTN,ES213,PT,70.1,29.9
2014,IC_GEN_MGTN,ES213,PT,74.8,25.2
2012,IC_GEN_MGTN,ES213,PT,72.2,27.8
2011,IC_GEN_MGTN,ES213,PT,70.7,29.3
2018,IC_GEN_MGTN,ES213,PT,72.2,27.8
2010,IC_GEN_MGTN,ES213,PT,65.1,34.9
2013,IC_GEN_MGTN,ES213,PT,69.1,30.9
2021,IC_GEN_MGTN,ES212,PT,70.9,29.1
2019,IC_GEN_MGTN,ES212,PT,70.4,29.6
2018,IC_GEN_MGTN,ES212,PT,66.2,33.8
2024,IC_GEN_MGTN,ES212,PT,70.6,29.4
2017,IC_GEN_MGTN,ES212,PT,66.3,33.7
2013,IC_GEN_MGTN,ES212,PT,66.2,33.8
2016,IC_GEN_MGTN,ES212,PT,66.8,33.2
2012,IC_GEN_MGTN,ES212,PT,73.0,27.0
2010,IC_GEN_MGTN,ES212,PT,71.6,28.4
2022,IC_GEN_MGTN,ES212,PT,75.1,24.9
2011,IC_GEN_MGTN,ES212,PT,74.6,25.4
2020,IC_GEN_MGTN,ES212,PT,73.1,26.9
2014,IC_GEN_MGTN,ES212,PT,67.6,32.4
2015,IC_GEN_MGTN,ES212,PT,73.9,26.1
2023,IC_GEN_MGTN,ES212,PT,73.8,26.2
2020,EU_SELF_EMP,,PT,65.6,34.4
2013,EU_SELF_EMP,,PT,65.3,34.7
2019,EU_SELF_EMP,,PT,64.9,35.1
2016,EU_SELF_EMP,,PT,65.3,34.7
2011,EU_SELF_EMP,,PT,65.5,34.5
2022,EU_SELF_EMP,,PT,66.9,33.1
2015,EU_SELF_EMP,,PT,66.3,33.7
2012,EU_SELF_EMP,,PT,64.0,36.0
2010,EU_SELF_EMP,,PT,67.4,32.6
2024,EU_SELF_EMP,,PT,62.8,37.2
2017,EU_SELF_EMP,,PT,65.5,34.5
2023,EU_SELF_EMP,,PT,64.9,35.1
2018,EU_SELF_EMP,,PT,64.6,35.4
2021,EU_SELF_EMP,,PT,66.5,33.5
2014,EU_SELF_EMP,,PT,64.8,35.2
2024,EU_SELF_EMP,ES211,PT,72.7,27.3
2022,EU_SELF_EMP,ES211,PT,69.3,30.7
2010,EU_SELF_EMP,ES211,PT,64.8,35.2
2023,EU_SELF_EMP,ES211,PT,72.3,27.7
2015,EU_SELF_EMP,ES211,PT,63.3,36.7
2018,EU_SELF_EMP,ES211,PT,64.0,36.0
2019,EU_SELF_EMP,ES211,PT,65.4,34.6
2014,EU_SELF_EMP,ES211,PT,66.7,33.3
2017,EU_SELF_EMP,ES211,PT,67.2,32.8
2013,EU_SELF_EMP,ES211,PT,68.2,31.8
2016,EU_SELF_EMP,ES211,PT,65.1,34.9
2021,EU_SELF_EMP,ES211,PT,68.7,31.3
2020,EU_SELF_EMP,ES211,PT,69.1,30.9
2011,EU_SELF_EMP,ES211,PT,68.2,31.8
2012,EU_SELF_EMP,ES211,PT,66.4,33.6
2017,EU_SELF_EMP,ES213,PT,66.2,33.8
2014,EU_SELF_EMP,ES213,PT,65.1,34.9
2022,EU_SELF_EMP,ES213,PT,65.4,34.6
2016,EU_SELF_EMP,ES213,PT,66.0,34.0
2013,EU_SELF_EMP,ES213,PT,64.3,35.7
2012,EU_SELF_EMP,ES213,PT,63.1,36.9
2024,EU_SELF_EMP,ES213,PT,62.3,37.7
2019,EU_SELF_EMP,ES213,PT,65.1,34.9
2015,EU_SELF_EMP,ES213,PT,67.0,33.0
2018,EU_SELF_EMP,ES213,PT,65.0,35.0
2011,EU_SELF_EMP,ES213,PT,63.4,36.6
2023,EU_SELF_EMP,ES213,PT,63.0,37.0
2021,EU_SELF_EMP,ES213,PT,66.5,33.5
2020,EU_SELF_EMP,ES213,PT,64.2,35.8
2010,EU_SELF_EMP,ES213,PT,66.5,33.5
2012,EU_SELF_EMP,ES212,PT,64.4,35.6
2024,EU_SELF_EMP,ES212,PT,60.0,40.0
2022,EU_SELF_EMP,ES212,PT,68.0,32.0
2016,EU_SELF_EMP,ES212,PT,64.4,35.6
2019,EU_SELF_EMP,ES212,PT,64.4,35.6
2011,EU_SELF_EMP,ES212,PT,67.4,32.6
2018,EU_SELF_EMP,ES212,PT,64.3,35.7
2023,EU_SELF_EMP,ES212,PT,64.7,35.3
2014,EU_SELF_EMP,ES212,PT,63.6,36.4
2010,EU_SELF_EMP,ES212,PT,69.5,30.5
2020,EU_SELF_EMP,ES212,PT,66.6,33.4
2021,EU_SELF_EMP,ES212,PT,65.7,34.3
2015,EU_SELF_EMP,ES212,PT,66.8,33.2
2013,EU_SELF_EMP,ES212,PT,65.5,34.5
2017,EU_SELF_EMP,ES212,PT,63.8,36.2
