Year,Series,Territorio histórico,Units,Value
2019,Tasa de crecimiento del gasto de los hogares del 40% más pobre de la población per cápita,Bizkaia,%,1.6
2018,Tasa de crecimiento del gasto de los hogares del 40% más pobre de la población per cápita,Bizkaia,%,0.4
2017,Tasa de crecimiento del gasto de los hogares del 40% más pobre de la población per cápita,Bizkaia,%,-0.1
2015,Tasa de crecimiento del gasto de los hogares del 40% más pobre de la población per cápita,Bizkaia,%,0.9
2014,Tasa de crecimiento del gasto de los hogares del 40% más pobre de la población per cápita,Bizkaia,%,0.9
2013,Tasa de crecimiento del gasto de los hogares del 40% más pobre de la población per cápita,Bizkaia,%,-0.1
2012,Tasa de crecimiento del gasto de los hogares del 40% más pobre de la población per cápita,Bizkaia,%,0.6
2011,Tasa de crecimiento del gasto de los hogares del 40% más pobre de la población per cápita,Bizkaia,%,1.5
2016,Tasa de crecimiento del gasto de los hogares del 40% más pobre de la población per cápita,Bizkaia,%,-0.3
2013,Tasa de crecimiento del gasto de los hogares del 40% más pobre de la población per cápita,Gipuzkoa,%,0.2
2015,Tasa de crecimiento del gasto de los hogares del 40% más pobre de la población per cápita,Gipuzkoa,%,-0.8
2022,Tasa de crecimiento del gasto de los hogares del 40% más pobre de la población per cápita,Gipuzkoa,%,0.8
2021,Tasa de crecimiento del gasto de los hogares del 40% más pobre de la población per cápita,Gipuzkoa,%,0.2
2020,Tasa de crecimiento del gasto de los hogares del 40% más pobre de la población per cápita,Gipuzkoa,%,-0.5
2018,Tasa de crecimiento del gasto de los hogares del 40% más pobre de la población per cápita,Gipuzkoa,%,1.5
2017,Tasa de crecimiento del gasto de los hogares del 40% más pobre de la población per cápita,Gipuzkoa,%,2.0
2016,Tasa de crecimiento del gasto de los hogares del 40% más pobre de la población per cápita,Gipuzkoa,%,0.7
2014,Tasa de crecimiento del gasto de los hogares del 40% más pobre de la población per cápita,Gipuzkoa,%,-0.9
2012,Tasa de crecimiento del gasto de los hogares del 40% más pobre de la población per cápita,Gipuzkoa,%,-0.7
2011,Tasa de crecimiento del gasto de los hogares del 40% más pobre de la población per cápita,Gipuzkoa,%,1.9
2019,Tasa de crecimiento del gasto de los hogares del 40% más pobre de la población per cápita,Gipuzkoa,%,1.6
2012,Tasa de crecimiento del ingreso familiar per cápita,,%,-1.0
2018,Tasa de crecimiento del ingreso familiar per cápita,,%,1.6
2020,Tasa de crecimiento del ingreso familiar per cápita,,%,4.5
2008,Tasa de crecimiento del ingreso familiar per cápita,,%,4.2
2022,Tasa de crecimiento del ingreso familiar per cápita,,%,3.2
2014,Tasa de crecimiento del ingreso familiar per cápita,,%,-0.9
2016,Tasa de crecimiento del ingreso familiar per cápita,,%,1.0
2008,Tasa de crecimiento del ingresode los hogares del 40% más pobre de la población per cápita,,%,4.8
2018,Tasa de crecimiento del ingresode los hogares del 40% más pobre de la población per cápita,,%,1.7
2012,Tasa de crecimiento del ingresode los hogares del 40% más pobre de la población per cápita,,%,-0.7
2020,Tasa de crecimiento del ingresode los hogares del 40% más pobre de la población per cápita,,%,2.9
2022,Tasa de crecimiento del ingresode los hogares del 40% más pobre de la población per cápita,,%,4.2
2014,Tasa de crecimiento del ingresode los hogares del 40% más pobre de la población per cápita,,%,-1.7
2016,Tasa de crecimiento del ingresode los hogares del 40% más pobre de la población per cápita,,%,1.0
