Year,Series,Territorio histórico,Units,Progress,Value
2012,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Gipuzkoa,Ratio,1.0,1.0
2011,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Gipuzkoa,Ratio,1.0989010989010988,0.91
2010,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Gipuzkoa,Ratio,1.0526315789473684,0.95
2024,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Gipuzkoa,Ratio,1.04,1.04
2023,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Gipuzkoa,Ratio,1.1,1.1
2022,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Gipuzkoa,Ratio,1.11,1.11
2021,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Gipuzkoa,Ratio,1.03,1.03
2024,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Bizkaia,Ratio,1.0638297872340423,0.94
2023,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Bizkaia,Ratio,1.0101010101010102,0.99
2022,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Bizkaia,Ratio,1.0101010101010102,0.99
2021,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Bizkaia,Ratio,1.05,1.05
2020,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Bizkaia,Ratio,1.05,1.05
2019,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Bizkaia,Ratio,1.1235955056179776,0.89
2018,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Bizkaia,Ratio,1.162790697674419,0.86
2017,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Bizkaia,Ratio,1.0526315789473684,0.95
2016,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Bizkaia,Ratio,1.1111111111111112,0.9
2015,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Bizkaia,Ratio,1.1363636363636365,0.88
2014,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Bizkaia,Ratio,1.0101010101010102,0.99
2013,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Bizkaia,Ratio,1.075268817204301,0.93
2012,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Bizkaia,Ratio,1.020408163265306,0.98
2011,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Bizkaia,Ratio,1.05,1.05
2010,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Bizkaia,Ratio,1.14,1.14
