Year,Series,Territorio histórico,Units,Progress,Value
2010,Proporción de escaños ocupados por mujeres en el Parlamento Vasco,,%,54.7,45.3
2014,Proporción de escaños ocupados por mujeres en el Parlamento Vasco,,%,50.7,49.3
2023,Proporción de escaños ocupados por mujeres en el Parlamento Vasco,,%,50.7,49.3
2016,Proporción de escaños ocupados por mujeres en el Parlamento Vasco,,%,53.3,53.3
2021,Proporción de escaños ocupados por mujeres en el Parlamento Vasco,,%,50.7,50.7
2024,Proporción de escaños ocupados por mujeres en el Parlamento Vasco,,%,52.0,52.0
2017,Proporción de escaños ocupados por mujeres en el Parlamento Vasco,,%,53.3,53.3
2011,Proporción de escaños ocupados por mujeres en el Parlamento Vasco,,%,54.7,45.3
2022,Proporción de escaños ocupados por mujeres en el Parlamento Vasco,,%,50.7,50.7
2015,Proporción de escaños ocupados por mujeres en el Parlamento Vasco,,%,50.7,49.3
2020,Proporción de escaños ocupados por mujeres en el Parlamento Vasco,,%,50.7,50.7
2012,Proporción de escaños ocupados por mujeres en el Parlamento Vasco,,%,50.7,49.3
2019,Proporción de escaños ocupados por mujeres en el Parlamento Vasco,,%,53.3,53.3
2025,Proporción de escaños ocupados por mujeres en el Parlamento Vasco,,%,53.3,53.3
2013,Proporción de escaños ocupados por mujeres en el Parlamento Vasco,,%,50.7,49.3
2018,Proporción de escaños ocupados por mujeres en el Parlamento Vasco,,%,53.3,53.3
2022,Proporción de mujeres entre las personas titulares de las consejerías del Gobierno Vasco,,%,54.5,45.5
2013,Proporción de mujeres entre las personas titulares de las consejerías del Gobierno Vasco,,%,50.0,50.0
2011,Proporción de mujeres entre las personas titulares de las consejerías del Gobierno Vasco,,%,50.0,50.0
2025,Proporción de mujeres entre las personas titulares de las consejerías del Gobierno Vasco,,%,53.3,46.7
2019,Proporción de mujeres entre las personas titulares de las consejerías del Gobierno Vasco,,%,63.6,63.6
2014,Proporción de mujeres entre las personas titulares de las consejerías del Gobierno Vasco,,%,50.0,50.0
2018,Proporción de mujeres entre las personas titulares de las consejerías del Gobierno Vasco,,%,58.3,41.7
2017,Proporción de mujeres entre las personas titulares de las consejerías del Gobierno Vasco,,%,58.3,41.7
2021,Proporción de mujeres entre las personas titulares de las consejerías del Gobierno Vasco,,%,54.5,45.5
2020,Proporción de mujeres entre las personas titulares de las consejerías del Gobierno Vasco,,%,54.5,45.5
2023,Proporción de mujeres entre las personas titulares de las consejerías del Gobierno Vasco,,%,54.5,45.5
2012,Proporción de mujeres entre las personas titulares de las consejerías del Gobierno Vasco,,%,50.0,50.0
2016,Proporción de mujeres entre las personas titulares de las consejerías del Gobierno Vasco,,%,50.0,50.0
2024,Proporción de mujeres entre las personas titulares de las consejerías del Gobierno Vasco,,%,53.3,46.7
2015,Proporción de mujeres entre las personas titulares de las consejerías del Gobierno Vasco,,%,50.0,50.0
2010,Proporción de mujeres entre las personas titulares de las consejerías del Gobierno Vasco,,%,54.5,45.5
2021,Proporción de escaños ocupados por mujeres en las Juntas Generales,,%,54.2,54.2
2018,Proporción de escaños ocupados por mujeres en las Juntas Generales,,%,51.9,48.1
2012,Proporción de escaños ocupados por mujeres en las Juntas Generales,,%,51.6,48.4
2015,Proporción de escaños ocupados por mujeres en las Juntas Generales,,%,51.9,48.1
2022,Proporción de escaños ocupados por mujeres en las Juntas Generales,,%,54.2,54.2
2014,Proporción de escaños ocupados por mujeres en las Juntas Generales,,%,51.6,48.4
2020,Proporción de escaños ocupados por mujeres en las Juntas Generales,,%,54.2,54.2
2016,Proporción de escaños ocupados por mujeres en las Juntas Generales,,%,51.9,48.1
