Year,Series,Sexo,Tipo de tenencia,Territorio histórico,Units,Progress,Value
2023,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,En arrendamiento,,%,73.4,26.6
2009,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,En arrendamiento,,%,73.6,26.4
2013,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,En arrendamiento,,%,70.2,29.8
2016,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,En arrendamiento,,%,69.0,31.0
2020,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,En arrendamiento,,%,74.2,25.8
2009,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,En arrendamiento,Araba/Álava,%,76.8,23.2
2023,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,En arrendamiento,Araba/Álava,%,86.0,14.0
2023,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,En arrendamiento,Bizkaia,%,60.0,40.0
2009,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,En arrendamiento,Bizkaia,%,69.4,30.6
2009,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,En arrendamiento,Gipuzkoa,%,76.9,23.1
2023,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",,En arrendamiento,Gipuzkoa,%,73.8,26.2
2013,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Mujer,,,%,,58.9
2009,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Mujer,,,%,,55.8
2023,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Mujer,,,%,,45.1
2016,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Mujer,,,%,,53.4
2020,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Mujer,,,%,,49.0
2023,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Mujer,,Araba/Álava,%,,48.8
2016,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Mujer,,Araba/Álava,%,,43.4
