Year,Value,Units,Series
2022,10.4,Mikrogramoak metro kubikoko,"Hirietako PM2,5 partikulen batez besteko mailak, populazioaren arabera haztatuak"
2024,8.4,Mikrogramoak metro kubikoko,"Hirietako PM2,5 partikulen batez besteko mailak, populazioaren arabera haztatuak"
2018,9.9,Mikrogramoak metro kubikoko,"Hirietako PM2,5 partikulen batez besteko mailak, populazioaren arabera haztatuak"
2014,9.2,Mikrogramoak metro kubikoko,"Hirietako PM2,5 partikulen batez besteko mailak, populazioaren arabera haztatuak"
2015,10.1,Mikrogramoak metro kubikoko,"Hirietako PM2,5 partikulen batez besteko mailak, populazioaren arabera haztatuak"
2011,11.1,Mikrogramoak metro kubikoko,"Hirietako PM2,5 partikulen batez besteko mailak, populazioaren arabera haztatuak"
2010,11.3,Mikrogramoak metro kubikoko,"Hirietako PM2,5 partikulen batez besteko mailak, populazioaren arabera haztatuak"
2012,10.1,Mikrogramoak metro kubikoko,"Hirietako PM2,5 partikulen batez besteko mailak, populazioaren arabera haztatuak"
2023,9.5,Mikrogramoak metro kubikoko,"Hirietako PM2,5 partikulen batez besteko mailak, populazioaren arabera haztatuak"
2017,9.8,Mikrogramoak metro kubikoko,"Hirietako PM2,5 partikulen batez besteko mailak, populazioaren arabera haztatuak"
2021,10.0,Mikrogramoak metro kubikoko,"Hirietako PM2,5 partikulen batez besteko mailak, populazioaren arabera haztatuak"
2016,8.6,Mikrogramoak metro kubikoko,"Hirietako PM2,5 partikulen batez besteko mailak, populazioaren arabera haztatuak"
2020,8.8,Mikrogramoak metro kubikoko,"Hirietako PM2,5 partikulen batez besteko mailak, populazioaren arabera haztatuak"
2019,9.0,Mikrogramoak metro kubikoko,"Hirietako PM2,5 partikulen batez besteko mailak, populazioaren arabera haztatuak"
2013,10.5,Mikrogramoak metro kubikoko,"Hirietako PM2,5 partikulen batez besteko mailak, populazioaren arabera haztatuak"
2010,24.2,Mikrogramoak metro kubikoko,"Hirietako PM10 partikulen batez besteko mailak, populazioaren arabera haztatuak"
2011,27.0,Mikrogramoak metro kubikoko,"Hirietako PM10 partikulen batez besteko mailak, populazioaren arabera haztatuak"
2012,26.7,Mikrogramoak metro kubikoko,"Hirietako PM10 partikulen batez besteko mailak, populazioaren arabera haztatuak"
2014,17.4,Mikrogramoak metro kubikoko,"Hirietako PM10 partikulen batez besteko mailak, populazioaren arabera haztatuak"
2015,17.9,Mikrogramoak metro kubikoko,"Hirietako PM10 partikulen batez besteko mailak, populazioaren arabera haztatuak"
2016,15.3,Mikrogramoak metro kubikoko,"Hirietako PM10 partikulen batez besteko mailak, populazioaren arabera haztatuak"
2013,15.9,Mikrogramoak metro kubikoko,"Hirietako PM10 partikulen batez besteko mailak, populazioaren arabera haztatuak"
2017,17.9,Mikrogramoak metro kubikoko,"Hirietako PM10 partikulen batez besteko mailak, populazioaren arabera haztatuak"
2021,16.1,Mikrogramoak metro kubikoko,"Hirietako PM10 partikulen batez besteko mailak, populazioaren arabera haztatuak"
2018,16.7,Mikrogramoak metro kubikoko,"Hirietako PM10 partikulen batez besteko mailak, populazioaren arabera haztatuak"
2019,16.3,Mikrogramoak metro kubikoko,"Hirietako PM10 partikulen batez besteko mailak, populazioaren arabera haztatuak"
2020,15.6,Mikrogramoak metro kubikoko,"Hirietako PM10 partikulen batez besteko mailak, populazioaren arabera haztatuak"
2022,17.7,Mikrogramoak metro kubikoko,"Hirietako PM10 partikulen batez besteko mailak, populazioaren arabera haztatuak"
2023,16.4,Mikrogramoak metro kubikoko,"Hirietako PM10 partikulen batez besteko mailak, populazioaren arabera haztatuak"
2024,14.6,Mikrogramoak metro kubikoko,"Hirietako PM10 partikulen batez besteko mailak, populazioaren arabera haztatuak"
