Year,Value,Units,Series,Progress
2017,41.4,%,Emakumezkoen proportzioa zinegotzien artean,58.6
2016,41.4,%,Emakumezkoen proportzioa zinegotzien artean,58.6
2015,41.4,%,Emakumezkoen proportzioa zinegotzien artean,58.6
2014,40.3,%,Emakumezkoen proportzioa zinegotzien artean,59.7
2013,40.5,%,Emakumezkoen proportzioa zinegotzien artean,59.5
2012,40.4,%,Emakumezkoen proportzioa zinegotzien artean,59.6
2011,40.4,%,Emakumezkoen proportzioa zinegotzien artean,59.6
2010,27.8,%,Emakumezkoen proportzioa zinegotzien artean,72.2
2024,34.3,%,Emakumezkoen proportzioa alkateen artean,65.7
2023,33.1,%,Emakumezkoen proportzioa alkateen artean,66.9
2022,30.3,%,Emakumezkoen proportzioa alkateen artean,69.7
2021,30.3,%,Emakumezkoen proportzioa alkateen artean,69.7
2020,29.2,%,Emakumezkoen proportzioa alkateen artean,70.8
2019,29.2,%,Emakumezkoen proportzioa alkateen artean,70.8
2018,25.2,%,Emakumezkoen proportzioa alkateen artean,74.8
2017,25.2,%,Emakumezkoen proportzioa alkateen artean,74.8
2016,25.2,%,Emakumezkoen proportzioa alkateen artean,74.8
2015,25.2,%,Emakumezkoen proportzioa alkateen artean,74.8
2014,23.1,%,Emakumezkoen proportzioa alkateen artean,76.9
2013,22.3,%,Emakumezkoen proportzioa alkateen artean,77.7
2012,22.0,%,Emakumezkoen proportzioa alkateen artean,78.0
2011,22.0,%,Emakumezkoen proportzioa alkateen artean,78.0
2010,19.9,%,Emakumezkoen proportzioa alkateen artean,80.1
2025,35.7,%,Emakumezkoen proportzioa alkateen artean,64.3
