Year,Value,Units,Series
2017,96.0,%,Bigarren hezkuntzako lehen etaparen amaiera-tasa (18-20 urteko biztanleria)
2016,95.5,%,Bigarren hezkuntzako lehen etaparen amaiera-tasa (18-20 urteko biztanleria)
2018,95.2,%,Bigarren hezkuntzako lehen etaparen amaiera-tasa (18-20 urteko biztanleria)
2020,99.4,%,Bigarren hezkuntzako lehen etaparen amaiera-tasa (18-20 urteko biztanleria)
2019,97.0,%,Bigarren hezkuntzako lehen etaparen amaiera-tasa (18-20 urteko biztanleria)
2021,98.1,%,Bigarren hezkuntzako lehen etaparen amaiera-tasa (18-20 urteko biztanleria)
2015,94.7,%,Bigarren hezkuntzako lehen etaparen amaiera-tasa (18-20 urteko biztanleria)
2022,94.9,%,Bigarren hezkuntzako lehen etaparen amaiera-tasa (18-20 urteko biztanleria)
2016,79.1,%,Bigarren hezkuntzako bigarren etaparen amaiera-tasa (20-22 urteko biztanleria)
2017,77.9,%,Bigarren hezkuntzako bigarren etaparen amaiera-tasa (20-22 urteko biztanleria)
2021,82.9,%,Bigarren hezkuntzako bigarren etaparen amaiera-tasa (20-22 urteko biztanleria)
2015,79.4,%,Bigarren hezkuntzako bigarren etaparen amaiera-tasa (20-22 urteko biztanleria)
2018,80.9,%,Bigarren hezkuntzako bigarren etaparen amaiera-tasa (20-22 urteko biztanleria)
2019,82.7,%,Bigarren hezkuntzako bigarren etaparen amaiera-tasa (20-22 urteko biztanleria)
2020,81.5,%,Bigarren hezkuntzako bigarren etaparen amaiera-tasa (20-22 urteko biztanleria)
2022,84.7,%,Bigarren hezkuntzako bigarren etaparen amaiera-tasa (20-22 urteko biztanleria)
