Year,Value,Units,Series
2015,0.6,%,Familiako gastuaren hazkunde-tasa per capita
2017,0.8,%,Familiako gastuaren hazkunde-tasa per capita
2014,0.1,%,Familiako gastuaren hazkunde-tasa per capita
2018,1.2,%,Familiako gastuaren hazkunde-tasa per capita
2020,-1.1,%,Familiako gastuaren hazkunde-tasa per capita
2019,1.7,%,Familiako gastuaren hazkunde-tasa per capita
2016,0.5,%,Familiako gastuaren hazkunde-tasa per capita
2022,1.3,%,Familiako gastuaren hazkunde-tasa per capita
2011,1.7,%,Familiako gastuaren hazkunde-tasa per capita
2013,0.0,%,Familiako gastuaren hazkunde-tasa per capita
2012,0.5,%,Familiako gastuaren hazkunde-tasa per capita
2021,-0.3,%,Familiako gastuaren hazkunde-tasa per capita
2014,-0.2,%,Familiako %40 pobreenarena gastuaren hazkunde-tasa per capita
2015,0.3,%,Familiako %40 pobreenarena gastuaren hazkunde-tasa per capita
2013,-0.3,%,Familiako %40 pobreenarena gastuaren hazkunde-tasa per capita
2011,1.6,%,Familiako %40 pobreenarena gastuaren hazkunde-tasa per capita
2020,-1.3,%,Familiako %40 pobreenarena gastuaren hazkunde-tasa per capita
2022,1.3,%,Familiako %40 pobreenarena gastuaren hazkunde-tasa per capita
2021,-0.1,%,Familiako %40 pobreenarena gastuaren hazkunde-tasa per capita
2012,0.1,%,Familiako %40 pobreenarena gastuaren hazkunde-tasa per capita
2018,1.0,%,Familiako %40 pobreenarena gastuaren hazkunde-tasa per capita
2017,0.6,%,Familiako %40 pobreenarena gastuaren hazkunde-tasa per capita
2016,-0.1,%,Familiako %40 pobreenarena gastuaren hazkunde-tasa per capita
2019,1.3,%,Familiako %40 pobreenarena gastuaren hazkunde-tasa per capita
2012,-1.0,%,Familiako diru-sarreraren hazkunde-tasa per capita
2018,1.6,%,Familiako diru-sarreraren hazkunde-tasa per capita
2020,4.5,%,Familiako diru-sarreraren hazkunde-tasa per capita
2008,4.2,%,Familiako diru-sarreraren hazkunde-tasa per capita
2022,3.2,%,Familiako diru-sarreraren hazkunde-tasa per capita
2014,-0.9,%,Familiako diru-sarreraren hazkunde-tasa per capita
2016,1.0,%,Familiako diru-sarreraren hazkunde-tasa per capita
2008,4.8,%,Familiako %40 pobreenarena biztanle bakoitzeko diru-sarreraren hazkunde-tasa
2018,1.7,%,Familiako %40 pobreenarena biztanle bakoitzeko diru-sarreraren hazkunde-tasa
2012,-0.7,%,Familiako %40 pobreenarena biztanle bakoitzeko diru-sarreraren hazkunde-tasa
2020,2.9,%,Familiako %40 pobreenarena biztanle bakoitzeko diru-sarreraren hazkunde-tasa
2022,4.2,%,Familiako %40 pobreenarena biztanle bakoitzeko diru-sarreraren hazkunde-tasa
2014,-1.7,%,Familiako %40 pobreenarena biztanle bakoitzeko diru-sarreraren hazkunde-tasa
2016,1.0,%,Familiako %40 pobreenarena biztanle bakoitzeko diru-sarreraren hazkunde-tasa
