Indicator
#1-3-1
#15-1-E1
#17-1-1
#17-1-2
#17-2-1
#2-3-1
#3-4-E2
#4-3-1
#5-4-1
#7-3-1
#8-5-E1
#8-8-1
#8-b-1
#9-2-1
#9-b-1
