Indicator
#1-2-1
#10-2-1
#10-3-1
#10-7-4
#11-7-2
#16-1-1
#16-1-E1
#16-2-2
#16-3-2
#16-b-1
#3-8-1
#3-b-2
#4-1-1
#5-2-1
#5-2-2
#5-a-1
#8-1-1
#9-3-1
