Indicator
#1-2-2
#1-a-1
#10-4-1
#12-4-2
#12-5-1
#16-1-4
#2-1-2
#2-2-2
#2-2-E1
#2-4-1
#2-a-2
#3-3-2
#3-3-4
#3-4-2
#3-5-2
#3-6-1
#3-8-2
#4-5-1
#5-5-2
#8-9-1
#9-2-2
