source_key,source_label,organisation,url,indicator_id
FUENTE.GE_Inclusion_ebcss,Estadística de bases de cotización de la seguridad social,"Ministerio de Inclusión, Seguridad Social y Migraciones",https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/c9bd51e5-79bc-44f2-9618-14d6094eb585?changeLanguage=es,1-3-1
FUENTE.Euskadi_Industria_ecair,Estadística de calidad del aire,"Departamento de Industria, Transición Energética y Sostenibilidad",https://www.euskadi.eus/web01-s2ekono/es/contenidos/informacion/estatistika_ing_090203/es_def/index.shtml,11-6-2
FUENTE.Euskadi_Industria_ecair,Estadística de calidad del aire,"Departamento de Industria, Transición Energética y Sostenibilidad",https://www.euskadi.eus/web01-s2ekono/es/contenidos/informacion/estatistika_ing_090203/es_def/index.shtml,9-4-E1
FUENTE.Euskadi_Industria_ecagua,Estadística de consumo del agua,"Departamento de Industria, Transición Energética y Sostenibilidad",https://www.euskadi.eus/informacion/estadistica-de-consumo-del-agua-090215/web01-s2ing/es/,6-4-2
FUENTE.Eustat_edef,Estadística de defunciones,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_28/opt_0/tipo_1/temas.html,1-5-1
FUENTE.Eustat_edef,Estadística de defunciones,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_28/opt_0/tipo_1/temas.html,11-5-1
FUENTE.Eustat_edef,Estadística de defunciones,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_28/opt_0/tipo_1/temas.html,13-1-1
FUENTE.Eustat_edef,Estadística de defunciones,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_28/opt_0/tipo_1/temas.html,16-1-2
FUENTE.Eustat_edef,Estadística de defunciones,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_28/opt_0/tipo_1/temas.html,3-1-1
FUENTE.Eustat_edef,Estadística de defunciones,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_28/opt_0/tipo_1/temas.html,3-2-1
FUENTE.Eustat_edef,Estadística de defunciones,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_28/opt_0/tipo_1/temas.html,3-2-2
FUENTE.Eustat_edef,Estadística de defunciones,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_28/opt_0/tipo_1/temas.html,3-4-1
FUENTE.Eustat_edef,Estadística de defunciones,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_28/opt_0/tipo_1/temas.html,3-4-2
FUENTE.Eustat_edef,Estadística de defunciones,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_28/opt_0/tipo_1/temas.html,3-6-1
FUENTE.Eustat_edef,Estadística de defunciones,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_28/opt_0/tipo_1/temas.html,3-9-3
FUENTE.Euskadi_Hacienda_presup,Estadística de ejecución presupuestaria,Departamento de Hacienda y Finanzas,https://es.eustat.eus/estadisticas/tema_916/opt_0/temas.html,16-6-1
FUENTE.GE_Sanidad_edo,Estadística de enfermedades de declaración obligatoria,Ministerio de Sanidad,https://cne.isciii.es/es/servicios/departamento-enfermedades-transmisibles/enfermedades-a-z,3-3-1
FUENTE.GE_Sanidad_edo,Estadística de enfermedades de declaración obligatoria,Ministerio de Sanidad,https://cne.isciii.es/es/servicios/departamento-enfermedades-transmisibles/enfermedades-a-z,3-3-2
FUENTE.GE_Sanidad_edo,Estadística de enfermedades de declaración obligatoria,Ministerio de Sanidad,https://cne.isciii.es/es/servicios/departamento-enfermedades-transmisibles/enfermedades-a-z,3-3-3
FUENTE.GE_Sanidad_edo,Estadística de enfermedades de declaración obligatoria,Ministerio de Sanidad,https://cne.isciii.es/es/servicios/departamento-enfermedades-transmisibles/enfermedades-a-z,3-3-4
FUENTE.GE_Interior_egpr,Estadística de la Población Reclusa,Ministerio del Interior,https://www.interior.gob.es/opencms/es/archivos-y-documentacion/documentacion-y-publicaciones/anuarios-y-estadisticas/estadisticas-del-ministerio-del-interior/,16-3-2
FUENTE.Euskadi_Industria_cma,Estadística de la calidad de las masas de agua,"Departamento de Industria, Transición Energética y Sostenibilidad",https://www.euskadi.eus/informacion/estadistica-de-calidad-de-las-masas-de-aguas-090214/web01-s2ing/es/,6-3-2
FUENTE.Ekolurra_epe,Estadística de la producción ecológica,Consejo de Agricultura y Alimentación Ecológica de Euskadi,https://www.euskadi.eus/produccion-ecologica/web01-a2estadi/es/,2-4-E1
FUENTE.Eustat_emat,Estadística de matrimonios,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_50/opt_1/temas.html,5-3-1
FUENTE.Eustat_enac,Estadística de nacimientos,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_48/opt_1/temas.html,3-1-2
FUENTE.Eustat_enac,Estadística de nacimientos,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_48/opt_1/temas.html,3-7-2
FUENTE.INE_epsc,Estadística de profesionales sanitarios colegiados,Instituto Nacional de Estadística (INE),https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736176781&idp=1254735573175,3-c-1
FUENTE.Consorcio_ere,Estadística de riesgos extraordinarios,Consorcio de Compensación de Seguros,https://www.consorseguros.es/la-entidad/publicaciones,1-5-2
FUENTE.Consorcio_ere,Estadística de riesgos extraordinarios,Consorcio de Compensación de Seguros,https://www.consorseguros.es/la-entidad/publicaciones,11-5-2
FUENTE.GE_Interior_esap,Estadística de seguridad: actuaciones policiales,Ministerio del Interior,https://www.interior.gob.es/opencms/es/archivos-y-documentacion/documentacion-y-publicaciones/anuarios-y-estadisticas/estadisticas-del-ministerio-del-interior/,11-7-2
FUENTE.Euskadi_Seguridad_evcm,Estadística de violencia contra las mujeres,Departamento de Seguridad,https://www.eustat.eus/estadisticas/tema_292/opt_2/tipo_10/ti_violencia-contra-las-mujeres/temas.html,5-2-1
FUENTE.Euskadi_Seguridad_evcm,Estadística de violencia contra las mujeres,Departamento de Seguridad,https://www.eustat.eus/estadisticas/tema_292/opt_2/tipo_10/ti_violencia-contra-las-mujeres/temas.html,5-2-2
FUENTE.INE_eepd,Estadística del Empleo de las Personas con Discapacidad,Instituto Nacional de Estadística (INE),https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736055502&menu=resultados&idp=1254735976595,8-5-2
FUENTE.INE_espd,Estadística del Salario de las Personas con Discapacidad,Instituto Nacional de Estadística (INE),https://www.ine.es/dynt3/inebase/es/index.htm?padre=9494,8-5-1
FUENTE.Eustat_ceit,Estadística del sector de alta tecnología,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_652/opt_1/temas.html,9-b-1
FUENTE.Eustat_cid,Estadística sobre actividades de investigación científica y desarrollo tecnológico-I+D,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_179/opt_0/temas.html,9-5-1
FUENTE.Eustat_cid,Estadística sobre actividades de investigación científica y desarrollo tecnológico-I+D,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_179/opt_0/temas.html,9-5-2
FUENTE.GE_Transicion_egfs,Estadística sobre gestión forestal sostenible,Ministerio para la Transición Ecológica y el Reto Demográfico,https://www.miteco.gob.es/es/ministerio/servicios/estadisticas/estadisticas-forestales/estadistica-sobre-gestion-forestal-sostenible.html,15-2-1
FUENTE.GE_Educacion_sinf,Estadística sobre la Tecnología de la información y la comunicación en los centros educativos,"Ministerio de Educación, Formación Profesional y Deportes",https://www.educacionfpydeportes.gob.es/servicios-al-ciudadano/estadisticas/no-universitaria/centros/tic.html,4-a-1
FUENTE.Euskadi_Alimentacion_edgt,Estadística sobre la distribución general de tierras y sobre las producciones agrarias,"Departamento de Alimentación, Desarrollo Rural, Agricultura y Pesca",https://www.euskadi.eus/web01-a1estadi/es/,2-4-E1
FUENTE.BE_eap,Estadísticas de Administraciones Públicas,Banco de España,https://www.bde.es/webbe/es/estadisticas/temas/administraciones-publicas.html,17-13-1
FUENTE.Euskadi_Seguridad_ed,Estadísticas delictivas,Departamento de Seguridad,https://www.ertzaintza.euskadi.eus/lfr/web/ertzaintza/estadisticas-delictivas,16-1-1
FUENTE.Eustat_cepsp,Estadísticas presupuestarias del sector público,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_151/opt_1/temas.html,1-a-2
FUENTE.Eustat_cepsp,Estadísticas presupuestarias del sector público,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_151/opt_1/temas.html,16-6-1
FUENTE.Eustat_cepsp,Estadísticas presupuestarias del sector público,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_151/opt_1/temas.html,17-1-2
FUENTE.Eustat_cepsp,Estadísticas presupuestarias del sector público,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_151/opt_1/temas.html,OCECA-1-a-2-1
FUENTE.Eustat_cepsp,Estadísticas presupuestarias del sector público,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_151/opt_1/temas.html,OCECA-1-a-2-2
