Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
SKILL_LTRCY,Irakurmena,SKILL_LTRCY,Functional literacy,3,1
SKILL_MATH,Matematika,SKILL_MATH,Mathematics,3,1
SKILL_NMRCY,Matematika,SKILL_NMRCY,Functional numeracy,3,1
SKILL_READ,Irakurmena,SKILL_READ,Reading,3,1
