Year,Series,Lurralde historikoa,Units,Progress,Value
2022,Genero-parekotasunaren indizea hezkuntza-jarduerak egitean,,Ratioa,1.07,1.07
2011,Genero-parekotasunaren indizea hezkuntza-jarduerak egitean,,Ratioa,1.17,1.17
2016,Genero-parekotasunaren indizea hezkuntza-jarduerak egitean,,Ratioa,1.0,1.0
2022,Diru-sarrera parekotasunaren indizea hezkuntza-jarduerak egitean (goiko eta beheko kintilak),,Ratioa,1.6666666666666667,0.6
2016,Diru-sarrera parekotasunaren indizea hezkuntza-jarduerak egitean (goiko eta beheko kintilak),,Ratioa,1.6666666666666667,0.6
2011,Diru-sarrera parekotasunaren indizea hezkuntza-jarduerak egitean (goiko eta beheko kintilak),,Ratioa,1.5625,0.64
2016,Osasun-parekotasunaren indizea hezkuntza-jarduerak egitean,,Ratioa,1.5151515151515151,0.66
2022,Osasun-parekotasunaren indizea hezkuntza-jarduerak egitean,,Ratioa,1.4285714285714286,0.7
2021,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),,Ratioa,1.02,1.02
2015,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),,Ratioa,1.0989010989010988,0.91
2014,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),,Ratioa,1.0989010989010988,0.91
2010,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),,Ratioa,1.0101010101010102,0.99
2019,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),,Ratioa,1.1111111111111112,0.9
2022,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),,Ratioa,1.01,1.01
2016,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),,Ratioa,1.0638297872340423,0.94
2018,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),,Ratioa,1.1363636363636365,0.88
2024,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),,Ratioa,1.0309278350515465,0.97
2017,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),,Ratioa,1.0869565217391304,0.92
2020,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),,Ratioa,1.0101010101010102,0.99
2013,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),,Ratioa,1.075268817204301,0.93
2012,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),,Ratioa,1.020408163265306,0.98
2011,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),,Ratioa,1.0416666666666667,0.96
2023,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),,Ratioa,1.02,1.02
2019,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Araba / Álava,Ratioa,1.0416666666666667,0.96
2011,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Araba / Álava,Ratioa,1.4705882352941175,0.68
2018,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Araba / Álava,Ratioa,1.03,1.03
2017,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Araba / Álava,Ratioa,1.1904761904761905,0.84
2016,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Araba / Álava,Ratioa,1.075268817204301,0.93
2010,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Araba / Álava,Ratioa,2.3255813953488373,0.43
2015,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Araba / Álava,Ratioa,1.0416666666666667,0.96
2014,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Araba / Álava,Ratioa,1.4285714285714286,0.7
2024,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Araba / Álava,Ratioa,1.1111111111111112,0.9
2023,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Araba / Álava,Ratioa,1.1235955056179776,0.89
2013,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Araba / Álava,Ratioa,1.2987012987012987,0.77
2022,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Araba / Álava,Ratioa,1.1764705882352942,0.85
2021,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Araba / Álava,Ratioa,1.0989010989010988,0.91
2012,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Araba / Álava,Ratioa,1.25,0.8
2020,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Araba / Álava,Ratioa,1.1764705882352942,0.85
