Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Progress,Value
2012,EU_XPD_LOCALGBPC,,,ES01051,PT,ES01051,111.93,88.07
2011,EU_XPD_LOCALGBPC,,,ES01051,PT,ES01051,117.25,82.75
2022,EU_XPD_LOCALGBPC,,,ES01051,PT,ES01051,102.34,97.66
2015,EU_XPD_LOCALGBPC,,,ES01051,PT,ES01051,120.69,79.31
2014,EU_XPD_LOCALGBPC,,,ES01051,PT,ES01051,115.5,84.5
2010,EU_XPD_LOCALGBPC,,,ES01051,PT,ES01051,123.18,76.82
2019,EU_XPD_LOCALGBPC,,,ES01051,PT,ES01051,109.09,90.91
2017,EU_XPD_LOCALGBPC,,,ES01051,PT,ES01051,117.48,82.52
2016,EU_XPD_LOCALGBPC,,,ES01051,PT,ES01051,122.98,77.02
2020,EU_XPD_LOCALGBPC,,,ES01051,PT,ES01051,130.64,69.36
2018,EU_XPD_LOCALGBPC,,,ES01051,PT,ES01051,106.98,93.02
2023,EU_XPD_LOCALGBPC,,,ES01051,PT,ES01051,108.64,91.36
2020,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,117.81,117.81
2022,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,110.48,110.48
2010,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,102.27,102.27
2021,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,112.07,87.93
2015,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,128.16,71.84
2018,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,109.51,109.51
2016,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,131.32,131.32
2014,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,127.0,73.0
2012,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,134.76,65.24
2023,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,105.32,105.32
2019,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,112.25,87.75
2011,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,121.53,78.47
2013,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,109.37,90.63
2017,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,116.2,83.8
2023,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,103.63,103.63
2014,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,102.83,102.83
2012,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,108.54,108.54
2021,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,104.32,95.68
2010,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,109.67,90.33
2019,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,117.46,82.54
2015,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,101.43,98.57
2018,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,119.76,80.24
