Year,Type of skill,Sex,Units,Value
2023,SKILL_NMRCY,,%,81.0
2012,SKILL_NMRCY,,%,69.2
2012,SKILL_NMRCY,Female,%,67.0
2023,SKILL_NMRCY,Female,%,78.7
2012,SKILL_NMRCY,Male,%,71.5
2023,SKILL_NMRCY,Male,%,83.4
2023,SKILL_LTRCY,,%,77.6
2012,SKILL_LTRCY,,%,68.1
2012,SKILL_LTRCY,Female,%,68.2
2023,SKILL_LTRCY,Female,%,80.1
2023,SKILL_LTRCY,Male,%,74.9
2012,SKILL_LTRCY,Male,%,67.9
