Year,Series,Units,Value
2014,Official development assistance for poverty reduction (total gross disbursement),Millions of euros,6842239.8
2015,Official development assistance for poverty reduction (total gross disbursement),Millions of euros,6130790.6
2016,Official development assistance for poverty reduction (total gross disbursement),Millions of euros,6943260.5
2017,Official development assistance for poverty reduction (total gross disbursement),Millions of euros,8337348.6
2018,Official development assistance for poverty reduction (total gross disbursement),Millions of euros,7918881.9
2019,Official development assistance for poverty reduction (total gross disbursement),Millions of euros,6109368.2
2020,Official development assistance for poverty reduction (total gross disbursement),Millions of euros,4986517.2
2021,Official development assistance for poverty reduction (total gross disbursement),Millions of euros,7204235.5
2022,Official development assistance for poverty reduction (total gross disbursement),Millions of euros,6880422.7
2023,Official development assistance for poverty reduction (total gross disbursement),Millions of euros,6102050.6
2024,Official development assistance for poverty reduction (total gross disbursement),Millions of euros,5907395.2
