Year,Ocupacion,Territorio,Units,Progress,Value
2016,CNO2011_11_12_13,ES212,PT,66.8,33.2
2020,CNO2011_11_12_13,ES212,PT,73.1,26.9
2021,CNO2011_11_12_13,ES212,PT,70.9,29.1
2023,CNO2011_11_12_13,ES212,PT,73.8,26.2
2011,SELF_EMP,,PT,65.5,34.5
2019,SELF_EMP,,PT,64.9,35.1
2020,SELF_EMP,,PT,65.6,34.4
2014,SELF_EMP,,PT,64.8,35.2
2024,SELF_EMP,,PT,62.8,37.2
2021,SELF_EMP,,PT,66.5,33.5
2017,SELF_EMP,,PT,65.5,34.5
2015,SELF_EMP,,PT,66.3,33.7
2023,SELF_EMP,,PT,64.9,35.1
2016,SELF_EMP,,PT,65.3,34.7
2012,SELF_EMP,,PT,64.0,36.0
2022,SELF_EMP,,PT,66.9,33.1
2010,SELF_EMP,,PT,67.4,32.6
2018,SELF_EMP,,PT,64.6,35.4
2013,SELF_EMP,,PT,65.3,34.7
2020,SELF_EMP,ES211,PT,69.1,30.9
2019,SELF_EMP,ES211,PT,65.4,34.6
2018,SELF_EMP,ES211,PT,64.0,36.0
2011,SELF_EMP,ES211,PT,68.2,31.8
2015,SELF_EMP,ES211,PT,63.3,36.7
2013,SELF_EMP,ES211,PT,68.2,31.8
2017,SELF_EMP,ES211,PT,67.2,32.8
2024,SELF_EMP,ES211,PT,72.7,27.3
2022,SELF_EMP,ES211,PT,69.3,30.7
2016,SELF_EMP,ES211,PT,65.1,34.9
2010,SELF_EMP,ES211,PT,64.8,35.2
2012,SELF_EMP,ES211,PT,66.4,33.6
2014,SELF_EMP,ES211,PT,66.7,33.3
2021,SELF_EMP,ES211,PT,68.7,31.3
2023,SELF_EMP,ES211,PT,72.3,27.7
2015,SELF_EMP,ES213,PT,67.0,33.0
2024,SELF_EMP,ES213,PT,62.3,37.7
2023,SELF_EMP,ES213,PT,63.0,37.0
2022,SELF_EMP,ES213,PT,65.4,34.6
2021,SELF_EMP,ES213,PT,66.5,33.5
2020,SELF_EMP,ES213,PT,64.2,35.8
2019,SELF_EMP,ES213,PT,65.1,34.9
2017,SELF_EMP,ES213,PT,66.2,33.8
2016,SELF_EMP,ES213,PT,66.0,34.0
