Year,Ocupacion,Territorio histórico,Units,Progress,Value
2021,Alta dirección,Gipuzkoa,%,70.9,29.1
2023,Alta dirección,Gipuzkoa,%,73.8,26.2
2011,Empresaria,,%,65.5,34.5
2019,Empresaria,,%,64.9,35.1
2020,Empresaria,,%,65.6,34.4
2014,Empresaria,,%,64.8,35.2
2024,Empresaria,,%,62.8,37.2
2021,Empresaria,,%,66.5,33.5
2017,Empresaria,,%,65.5,34.5
2015,Empresaria,,%,66.3,33.7
2023,Empresaria,,%,64.9,35.1
2016,Empresaria,,%,65.3,34.7
2012,Empresaria,,%,64.0,36.0
2022,Empresaria,,%,66.9,33.1
2010,Empresaria,,%,67.4,32.6
2018,Empresaria,,%,64.6,35.4
2013,Empresaria,,%,65.3,34.7
2020,Empresaria,Araba/Álava,%,69.1,30.9
2019,Empresaria,Araba/Álava,%,65.4,34.6
2018,Empresaria,Araba/Álava,%,64.0,36.0
2011,Empresaria,Araba/Álava,%,68.2,31.8
2015,Empresaria,Araba/Álava,%,63.3,36.7
2013,Empresaria,Araba/Álava,%,68.2,31.8
2017,Empresaria,Araba/Álava,%,67.2,32.8
2024,Empresaria,Araba/Álava,%,72.7,27.3
2022,Empresaria,Araba/Álava,%,69.3,30.7
2016,Empresaria,Araba/Álava,%,65.1,34.9
2010,Empresaria,Araba/Álava,%,64.8,35.2
2012,Empresaria,Araba/Álava,%,66.4,33.6
2014,Empresaria,Araba/Álava,%,66.7,33.3
2021,Empresaria,Araba/Álava,%,68.7,31.3
2023,Empresaria,Araba/Álava,%,72.3,27.7
2015,Empresaria,Bizkaia,%,67.0,33.0
2024,Empresaria,Bizkaia,%,62.3,37.7
2023,Empresaria,Bizkaia,%,63.0,37.0
2022,Empresaria,Bizkaia,%,65.4,34.6
2021,Empresaria,Bizkaia,%,66.5,33.5
2020,Empresaria,Bizkaia,%,64.2,35.8
2019,Empresaria,Bizkaia,%,65.1,34.9
2017,Empresaria,Bizkaia,%,66.2,33.8
2016,Empresaria,Bizkaia,%,66.0,34.0
2014,Empresaria,Bizkaia,%,65.1,34.9
2013,Empresaria,Bizkaia,%,64.3,35.7
2012,Empresaria,Bizkaia,%,63.1,36.9
2011,Empresaria,Bizkaia,%,63.4,36.6
2018,Empresaria,Bizkaia,%,65.0,35.0
2010,Empresaria,Bizkaia,%,66.5,33.5
2022,Empresaria,Gipuzkoa,%,68.0,32.0
2021,Empresaria,Gipuzkoa,%,65.7,34.3
2019,Empresaria,Gipuzkoa,%,64.4,35.6
2018,Empresaria,Gipuzkoa,%,64.3,35.7
2024,Empresaria,Gipuzkoa,%,60.0,40.0
2017,Empresaria,Gipuzkoa,%,63.8,36.2
2013,Empresaria,Gipuzkoa,%,65.5,34.5
2016,Empresaria,Gipuzkoa,%,64.4,35.6
2012,Empresaria,Gipuzkoa,%,64.4,35.6
2010,Empresaria,Gipuzkoa,%,69.5,30.5
2011,Empresaria,Gipuzkoa,%,67.4,32.6
2020,Empresaria,Gipuzkoa,%,66.6,33.4
2014,Empresaria,Gipuzkoa,%,63.6,36.4
2015,Empresaria,Gipuzkoa,%,66.8,33.2
2023,Empresaria,Gipuzkoa,%,64.7,35.3
