Year,Value,Units,Series
2017,96.0,PT,EU_SE_TOT_CPLR_2
2016,95.5,PT,EU_SE_TOT_CPLR_2
2018,95.2,PT,EU_SE_TOT_CPLR_2
2020,99.4,PT,EU_SE_TOT_CPLR_2
2019,97.0,PT,EU_SE_TOT_CPLR_2
2021,98.1,PT,EU_SE_TOT_CPLR_2
2015,94.7,PT,EU_SE_TOT_CPLR_2
2022,94.9,PT,EU_SE_TOT_CPLR_2
2016,79.1,PT,EU_SE_TOT_CPLR_3
2017,77.9,PT,EU_SE_TOT_CPLR_3
2021,82.9,PT,EU_SE_TOT_CPLR_3
2015,79.4,PT,EU_SE_TOT_CPLR_3
2018,80.9,PT,EU_SE_TOT_CPLR_3
2019,82.7,PT,EU_SE_TOT_CPLR_3
2020,81.5,PT,EU_SE_TOT_CPLR_3
2022,84.7,PT,EU_SE_TOT_CPLR_3
