Year,Value,Units,Series,Progress
2015,0.6,PT,UE_HEI_HE,
2017,0.8,PT,UE_HEI_HE,
2014,0.1,PT,UE_HEI_HE,
2018,1.2,PT,UE_HEI_HE,
2020,-1.1,PT,UE_HEI_HE,
2019,1.7,PT,UE_HEI_HE,
2016,0.5,PT,UE_HEI_HE,
2022,1.3,PT,UE_HEI_HE,
2011,1.7,PT,UE_HEI_HE,
2013,0.0,PT,UE_HEI_HE,
2012,0.5,PT,UE_HEI_HE,
2021,-0.3,PT,UE_HEI_HE,
2014,-0.2,PT,UE_HEI_HE_40,
2015,0.3,PT,UE_HEI_HE_40,
2013,-0.3,PT,UE_HEI_HE_40,
2011,1.6,PT,UE_HEI_HE_40,
2020,-1.3,PT,UE_HEI_HE_40,
2022,1.3,PT,UE_HEI_HE_40,
2021,-0.1,PT,UE_HEI_HE_40,
2012,0.1,PT,UE_HEI_HE_40,
2018,1.0,PT,UE_HEI_HE_40,
2017,0.6,PT,UE_HEI_HE_40,
2016,-0.1,PT,UE_HEI_HE_40,
2019,1.3,PT,UE_HEI_HE_40,
2012,-1.0,PT,UE_HEI_HI,
2018,1.6,PT,UE_HEI_HI,
2020,4.5,PT,UE_HEI_HI,
2008,4.2,PT,UE_HEI_HI,
2022,3.2,PT,UE_HEI_HI,
2014,-0.9,PT,UE_HEI_HI,
2016,1.0,PT,UE_HEI_HI,
2008,4.8,PT,UE_HEI_HI_40,
2018,1.7,PT,UE_HEI_HI_40,
2012,-0.7,PT,UE_HEI_HI_40,
2020,2.9,PT,UE_HEI_HI_40,
2022,4.2,PT,UE_HEI_HI_40,
2014,-1.7,PT,UE_HEI_HI_40,
2016,1.0,PT,UE_HEI_HI_40,
