Year,Value,Units,Series,Progress
2011,31.7,PT,IC_GEN_MGTL,68.3
2023,33.9,PT,IC_GEN_MGTL,66.1
2021,32.3,PT,IC_GEN_MGTL,67.7
2014,28.7,PT,IC_GEN_MGTL,71.3
2022,32.3,PT,IC_GEN_MGTL,67.7
2016,34.7,PT,IC_GEN_MGTL,65.3
2017,35.6,PT,IC_GEN_MGTL,64.4
2020,31.8,PT,IC_GEN_MGTL,68.2
2012,29.0,PT,IC_GEN_MGTL,71.0
2010,28.8,PT,IC_GEN_MGTL,71.2
2019,34.3,PT,IC_GEN_MGTL,65.7
2013,31.3,PT,IC_GEN_MGTL,68.7
2024,34.5,PT,IC_GEN_MGTL,65.5
2015,36.7,PT,IC_GEN_MGTL,63.3
2018,35.8,PT,IC_GEN_MGTL,64.2
2011,28.1,PT,IC_GEN_MGTN,71.9
2020,29.8,PT,IC_GEN_MGTN,70.2
2022,27.7,PT,IC_GEN_MGTN,72.3
2019,31.4,PT,IC_GEN_MGTN,68.6
2014,27.2,PT,IC_GEN_MGTN,72.8
2024,30.0,PT,IC_GEN_MGTN,70.0
2017,32.3,PT,IC_GEN_MGTN,67.7
2015,29.5,PT,IC_GEN_MGTN,70.5
2012,25.7,PT,IC_GEN_MGTN,74.3
2023,29.5,PT,IC_GEN_MGTN,70.5
2021,28.6,PT,IC_GEN_MGTN,71.4
2016,30.2,PT,IC_GEN_MGTN,69.8
2010,32.5,PT,IC_GEN_MGTN,67.5
2013,30.6,PT,IC_GEN_MGTN,69.4
2018,31.9,PT,IC_GEN_MGTN,68.1
2020,34.4,PT,EU_SELF_EMP,65.6
2013,34.7,PT,EU_SELF_EMP,65.3
2019,35.1,PT,EU_SELF_EMP,64.9
2016,34.7,PT,EU_SELF_EMP,65.3
2011,34.5,PT,EU_SELF_EMP,65.5
2022,33.1,PT,EU_SELF_EMP,66.9
2015,33.7,PT,EU_SELF_EMP,66.3
2012,36.0,PT,EU_SELF_EMP,64.0
2010,32.6,PT,EU_SELF_EMP,67.4
2024,37.2,PT,EU_SELF_EMP,62.8
2017,34.5,PT,EU_SELF_EMP,65.5
2023,35.1,PT,EU_SELF_EMP,64.9
2018,35.4,PT,EU_SELF_EMP,64.6
2021,33.5,PT,EU_SELF_EMP,66.5
2014,35.2,PT,EU_SELF_EMP,64.8
