Year,Value,Units,Series,Progress
2010,45.3,PT,GEN_PARL,54.7
2014,49.3,PT,GEN_PARL,50.7
2023,49.3,PT,GEN_PARL,50.7
2016,53.3,PT,GEN_PARL,53.3
2021,50.7,PT,GEN_PARL,50.7
2024,52.0,PT,GEN_PARL,52.0
2017,53.3,PT,GEN_PARL,53.3
2011,45.3,PT,GEN_PARL,54.7
2022,50.7,PT,GEN_PARL,50.7
2015,49.3,PT,GEN_PARL,50.7
2020,50.7,PT,GEN_PARL,50.7
2012,49.3,PT,GEN_PARL,50.7
2019,53.3,PT,GEN_PARL,53.3
2025,53.3,PT,GEN_PARL,53.3
2013,49.3,PT,GEN_PARL,50.7
2018,53.3,PT,GEN_PARL,53.3
2022,45.5,PT,GEN_G,54.5
2013,50.0,PT,GEN_G,50.0
2011,50.0,PT,GEN_G,50.0
2025,46.7,PT,GEN_G,53.3
2019,63.6,PT,GEN_G,63.6
2014,50.0,PT,GEN_G,50.0
2018,41.7,PT,GEN_G,58.3
2017,41.7,PT,GEN_G,58.3
2021,45.5,PT,GEN_G,54.5
2020,45.5,PT,GEN_G,54.5
2023,45.5,PT,GEN_G,54.5
2012,50.0,PT,GEN_G,50.0
2016,50.0,PT,GEN_G,50.0
2024,46.7,PT,GEN_G,53.3
2015,50.0,PT,GEN_G,50.0
2010,45.5,PT,GEN_G,54.5
2021,54.2,PT,GEN_REGIOPARL,54.2
2018,48.1,PT,GEN_REGIOPARL,51.9
2012,48.4,PT,GEN_REGIOPARL,51.6
2015,48.1,PT,GEN_REGIOPARL,51.9
2022,54.2,PT,GEN_REGIOPARL,54.2
2014,48.4,PT,GEN_REGIOPARL,51.6
2020,54.2,PT,GEN_REGIOPARL,54.2
2016,48.1,PT,GEN_REGIOPARL,51.9
2025,44.4,PT,GEN_REGIOPARL,55.6
2013,48.4,PT,GEN_REGIOPARL,51.6
2011,48.4,PT,GEN_REGIOPARL,51.6
2024,48.4,PT,GEN_REGIOPARL,51.6
2023,48.4,PT,GEN_REGIOPARL,51.6
2010,41.2,PT,GEN_REGIOPARL,58.8
2017,48.1,PT,GEN_REGIOPARL,51.9
2019,54.2,PT,GEN_REGIOPARL,54.2
2023,66.7,PT,GEN_REGIOG,66.7
2022,51.7,PT,GEN_REGIOG,51.7
2021,55.2,PT,GEN_REGIOG,55.2
2019,55.2,PT,GEN_REGIOG,55.2
2018,50.0,PT,GEN_REGIOG,50.0
2017,50.0,PT,GEN_REGIOG,50.0
2015,50.0,PT,GEN_REGIOG,50.0
2014,42.3,PT,GEN_REGIOG,57.7
2013,42.3,PT,GEN_REGIOG,57.7
2012,42.3,PT,GEN_REGIOG,57.7
2011,42.3,PT,GEN_REGIOG,57.7
2010,36.4,PT,GEN_REGIOG,63.6
2016,50.0,PT,GEN_REGIOG,50.0
2020,55.2,PT,GEN_REGIOG,55.2
2024,66.7,PT,GEN_REGIOG,66.7
2025,66.7,PT,GEN_REGIOG,66.7
2025,46.8,PT,GEN_LOCP,53.2
2024,46.5,PT,GEN_LOCP,53.5
2023,48.3,PT,GEN_LOCP,51.7
2022,47.5,PT,GEN_LOCP,52.5
2021,47.5,PT,GEN_LOCP,52.5
2020,47.8,PT,GEN_LOCP,52.2
2019,47.8,PT,GEN_LOCP,52.2
2018,41.4,PT,GEN_LOCP,58.6
2017,41.4,PT,GEN_LOCP,58.6
2016,41.4,PT,GEN_LOCP,58.6
2015,41.4,PT,GEN_LOCP,58.6
2014,40.3,PT,GEN_LOCP,59.7
2013,40.5,PT,GEN_LOCP,59.5
2012,40.4,PT,GEN_LOCP,59.6
2011,40.4,PT,GEN_LOCP,59.6
2010,27.8,PT,GEN_LOCP,72.2
2024,34.3,PT,GEN_LOCG,65.7
2023,33.1,PT,GEN_LOCG,66.9
2022,30.3,PT,GEN_LOCG,69.7
2021,30.3,PT,GEN_LOCG,69.7
2020,29.2,PT,GEN_LOCG,70.8
2019,29.2,PT,GEN_LOCG,70.8
2018,25.2,PT,GEN_LOCG,74.8
2017,25.2,PT,GEN_LOCG,74.8
2016,25.2,PT,GEN_LOCG,74.8
2015,25.2,PT,GEN_LOCG,74.8
2014,23.1,PT,GEN_LOCG,76.9
2013,22.3,PT,GEN_LOCG,77.7
2012,22.0,PT,GEN_LOCG,78.0
2011,22.0,PT,GEN_LOCG,78.0
2010,19.9,PT,GEN_LOCG,80.1
2025,35.7,PT,GEN_LOCG,64.3
