Year,Series,Sex,Province,Units,Value
2015,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Bizkaia,"Per 100,000",22.4
2019,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Bizkaia,"Per 100,000",17.7
2022,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Bizkaia,"Per 100,000",21.3
2018,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Bizkaia,"Per 100,000",22.6
2021,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Bizkaia,"Per 100,000",17.7
2016,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Bizkaia,"Per 100,000",16.2
2023,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Bizkaia,"Per 100,000",16.9
2023,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Gipuzkoa,"Per 100,000",9.8
2020,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Gipuzkoa,"Per 100,000",10.4
2019,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Gipuzkoa,"Per 100,000",12.5
2018,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Gipuzkoa,"Per 100,000",17.4
2022,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Gipuzkoa,"Per 100,000",14.4
2015,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Gipuzkoa,"Per 100,000",15.7
2016,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Gipuzkoa,"Per 100,000",9.2
2017,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Gipuzkoa,"Per 100,000",10.3
2021,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Gipuzkoa,"Per 100,000",10.9
2018,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,,"Per 100,000",20.9
2016,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,,"Per 100,000",13.9
2015,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,,"Per 100,000",20.1
2019,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,,"Per 100,000",16.0
2021,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,,"Per 100,000",15.5
2023,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,,"Per 100,000",14.1
2022,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,,"Per 100,000",18.8
2017,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,,"Per 100,000",14.7
2020,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,,"Per 100,000",15.2
2022,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Araba/Álava,"Per 100,000",16.0
2015,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Araba/Álava,"Per 100,000",17.6
2018,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Araba/Álava,"Per 100,000",17.9
2021,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Araba/Álava,"Per 100,000",11.9
2017,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Araba/Álava,"Per 100,000",11.9
2019,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Araba/Álava,"Per 100,000",13.6
2020,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Araba/Álava,"Per 100,000",13.4
2016,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Araba/Álava,"Per 100,000",12.3
2023,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Araba/Álava,"Per 100,000",10.6
2016,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Bizkaia,"Per 100,000",16.9
2018,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Bizkaia,"Per 100,000",23.5
2017,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Bizkaia,"Per 100,000",18.0
2021,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Bizkaia,"Per 100,000",19.0
2015,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Bizkaia,"Per 100,000",23.0
2020,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Bizkaia,"Per 100,000",18.5
