Year,Value,Units,Series,Progress
2011,31.7,%,Proporción de mujeres en cargos directivos,68.3
2023,33.9,%,Proporción de mujeres en cargos directivos,66.1
2021,32.3,%,Proporción de mujeres en cargos directivos,67.7
2014,28.7,%,Proporción de mujeres en cargos directivos,71.3
2022,32.3,%,Proporción de mujeres en cargos directivos,67.7
2016,34.7,%,Proporción de mujeres en cargos directivos,65.3
2017,35.6,%,Proporción de mujeres en cargos directivos,64.4
2020,31.8,%,Proporción de mujeres en cargos directivos,68.2
2012,29.0,%,Proporción de mujeres en cargos directivos,71.0
2010,28.8,%,Proporción de mujeres en cargos directivos,71.2
2019,34.3,%,Proporción de mujeres en cargos directivos,65.7
2013,31.3,%,Proporción de mujeres en cargos directivos,68.7
2024,34.5,%,Proporción de mujeres en cargos directivos,65.5
2015,36.7,%,Proporción de mujeres en cargos directivos,63.3
2018,35.8,%,Proporción de mujeres en cargos directivos,64.2
2011,28.1,%,Proporción de mujeres en alta dirección,71.9
2020,29.8,%,Proporción de mujeres en alta dirección,70.2
2022,27.7,%,Proporción de mujeres en alta dirección,72.3
2019,31.4,%,Proporción de mujeres en alta dirección,68.6
2014,27.2,%,Proporción de mujeres en alta dirección,72.8
2024,30.0,%,Proporción de mujeres en alta dirección,70.0
2017,32.3,%,Proporción de mujeres en alta dirección,67.7
2015,29.5,%,Proporción de mujeres en alta dirección,70.5
2012,25.7,%,Proporción de mujeres en alta dirección,74.3
2023,29.5,%,Proporción de mujeres en alta dirección,70.5
2021,28.6,%,Proporción de mujeres en alta dirección,71.4
2016,30.2,%,Proporción de mujeres en alta dirección,69.8
2010,32.5,%,Proporción de mujeres en alta dirección,67.5
2013,30.6,%,Proporción de mujeres en alta dirección,69.4
2018,31.9,%,Proporción de mujeres en alta dirección,68.1
2020,34.4,%,Proporción de mujeres empresarias,65.6
2013,34.7,%,Proporción de mujeres empresarias,65.3
2019,35.1,%,Proporción de mujeres empresarias,64.9
2016,34.7,%,Proporción de mujeres empresarias,65.3
2011,34.5,%,Proporción de mujeres empresarias,65.5
2022,33.1,%,Proporción de mujeres empresarias,66.9
2015,33.7,%,Proporción de mujeres empresarias,66.3
2012,36.0,%,Proporción de mujeres empresarias,64.0
2010,32.6,%,Proporción de mujeres empresarias,67.4
2024,37.2,%,Proporción de mujeres empresarias,62.8
2017,34.5,%,Proporción de mujeres empresarias,65.5
2023,35.1,%,Proporción de mujeres empresarias,64.9
2018,35.4,%,Proporción de mujeres empresarias,64.6
2021,33.5,%,Proporción de mujeres empresarias,66.5
2014,35.2,%,Proporción de mujeres empresarias,64.8
