Year,Value,Units,Series
2014,6842239.8,Millones de euros,Ayuda oficial al desarrollo para la reducción de la pobreza (desembolso bruto total)
2015,6130790.6,Millones de euros,Ayuda oficial al desarrollo para la reducción de la pobreza (desembolso bruto total)
2016,6943260.5,Millones de euros,Ayuda oficial al desarrollo para la reducción de la pobreza (desembolso bruto total)
2017,8337348.6,Millones de euros,Ayuda oficial al desarrollo para la reducción de la pobreza (desembolso bruto total)
2018,7918881.9,Millones de euros,Ayuda oficial al desarrollo para la reducción de la pobreza (desembolso bruto total)
2019,6109368.2,Millones de euros,Ayuda oficial al desarrollo para la reducción de la pobreza (desembolso bruto total)
2020,4986517.2,Millones de euros,Ayuda oficial al desarrollo para la reducción de la pobreza (desembolso bruto total)
2021,7204235.5,Millones de euros,Ayuda oficial al desarrollo para la reducción de la pobreza (desembolso bruto total)
2022,6880422.7,Millones de euros,Ayuda oficial al desarrollo para la reducción de la pobreza (desembolso bruto total)
2023,6102050.6,Millones de euros,Ayuda oficial al desarrollo para la reducción de la pobreza (desembolso bruto total)
2024,5907395.2,Millones de euros,Ayuda oficial al desarrollo para la reducción de la pobreza (desembolso bruto total)
