Year,Value,Units,Series,Progress
2010,45.3,%,Proporción de escaños ocupados por mujeres en el Parlamento Vasco,54.7
2014,49.3,%,Proporción de escaños ocupados por mujeres en el Parlamento Vasco,50.7
2023,49.3,%,Proporción de escaños ocupados por mujeres en el Parlamento Vasco,50.7
2016,53.3,%,Proporción de escaños ocupados por mujeres en el Parlamento Vasco,53.3
2021,50.7,%,Proporción de escaños ocupados por mujeres en el Parlamento Vasco,50.7
2024,52.0,%,Proporción de escaños ocupados por mujeres en el Parlamento Vasco,52.0
2017,53.3,%,Proporción de escaños ocupados por mujeres en el Parlamento Vasco,53.3
2011,45.3,%,Proporción de escaños ocupados por mujeres en el Parlamento Vasco,54.7
2022,50.7,%,Proporción de escaños ocupados por mujeres en el Parlamento Vasco,50.7
2015,49.3,%,Proporción de escaños ocupados por mujeres en el Parlamento Vasco,50.7
2020,50.7,%,Proporción de escaños ocupados por mujeres en el Parlamento Vasco,50.7
2012,49.3,%,Proporción de escaños ocupados por mujeres en el Parlamento Vasco,50.7
2019,53.3,%,Proporción de escaños ocupados por mujeres en el Parlamento Vasco,53.3
2025,53.3,%,Proporción de escaños ocupados por mujeres en el Parlamento Vasco,53.3
2013,49.3,%,Proporción de escaños ocupados por mujeres en el Parlamento Vasco,50.7
2018,53.3,%,Proporción de escaños ocupados por mujeres en el Parlamento Vasco,53.3
2022,45.5,%,Proporción de mujeres entre las personas titulares de las consejerías del Gobierno Vasco,54.5
2013,50.0,%,Proporción de mujeres entre las personas titulares de las consejerías del Gobierno Vasco,50.0
2011,50.0,%,Proporción de mujeres entre las personas titulares de las consejerías del Gobierno Vasco,50.0
2025,46.7,%,Proporción de mujeres entre las personas titulares de las consejerías del Gobierno Vasco,53.3
2019,63.6,%,Proporción de mujeres entre las personas titulares de las consejerías del Gobierno Vasco,63.6
2014,50.0,%,Proporción de mujeres entre las personas titulares de las consejerías del Gobierno Vasco,50.0
2018,41.7,%,Proporción de mujeres entre las personas titulares de las consejerías del Gobierno Vasco,58.3
2017,41.7,%,Proporción de mujeres entre las personas titulares de las consejerías del Gobierno Vasco,58.3
2021,45.5,%,Proporción de mujeres entre las personas titulares de las consejerías del Gobierno Vasco,54.5
2020,45.5,%,Proporción de mujeres entre las personas titulares de las consejerías del Gobierno Vasco,54.5
2023,45.5,%,Proporción de mujeres entre las personas titulares de las consejerías del Gobierno Vasco,54.5
2012,50.0,%,Proporción de mujeres entre las personas titulares de las consejerías del Gobierno Vasco,50.0
2016,50.0,%,Proporción de mujeres entre las personas titulares de las consejerías del Gobierno Vasco,50.0
2024,46.7,%,Proporción de mujeres entre las personas titulares de las consejerías del Gobierno Vasco,53.3
2015,50.0,%,Proporción de mujeres entre las personas titulares de las consejerías del Gobierno Vasco,50.0
2010,45.5,%,Proporción de mujeres entre las personas titulares de las consejerías del Gobierno Vasco,54.5
2021,54.2,%,Proporción de escaños ocupados por mujeres en las Juntas Generales,54.2
2018,48.1,%,Proporción de escaños ocupados por mujeres en las Juntas Generales,51.9
2012,48.4,%,Proporción de escaños ocupados por mujeres en las Juntas Generales,51.6
2015,48.1,%,Proporción de escaños ocupados por mujeres en las Juntas Generales,51.9
2022,54.2,%,Proporción de escaños ocupados por mujeres en las Juntas Generales,54.2
2014,48.4,%,Proporción de escaños ocupados por mujeres en las Juntas Generales,51.6
2020,54.2,%,Proporción de escaños ocupados por mujeres en las Juntas Generales,54.2
2016,48.1,%,Proporción de escaños ocupados por mujeres en las Juntas Generales,51.9
2025,44.4,%,Proporción de escaños ocupados por mujeres en las Juntas Generales,55.6
2013,48.4,%,Proporción de escaños ocupados por mujeres en las Juntas Generales,51.6
2011,48.4,%,Proporción de escaños ocupados por mujeres en las Juntas Generales,51.6
2024,48.4,%,Proporción de escaños ocupados por mujeres en las Juntas Generales,51.6
2023,48.4,%,Proporción de escaños ocupados por mujeres en las Juntas Generales,51.6
2010,41.2,%,Proporción de escaños ocupados por mujeres en las Juntas Generales,58.8
2017,48.1,%,Proporción de escaños ocupados por mujeres en las Juntas Generales,51.9
2019,54.2,%,Proporción de escaños ocupados por mujeres en las Juntas Generales,54.2
2023,66.7,%,Proporción de mujeres entre las personas Diputadas Forales,66.7
2022,51.7,%,Proporción de mujeres entre las personas Diputadas Forales,51.7
2021,55.2,%,Proporción de mujeres entre las personas Diputadas Forales,55.2
2019,55.2,%,Proporción de mujeres entre las personas Diputadas Forales,55.2
2018,50.0,%,Proporción de mujeres entre las personas Diputadas Forales,50.0
2017,50.0,%,Proporción de mujeres entre las personas Diputadas Forales,50.0
2015,50.0,%,Proporción de mujeres entre las personas Diputadas Forales,50.0
2014,42.3,%,Proporción de mujeres entre las personas Diputadas Forales,57.7
2013,42.3,%,Proporción de mujeres entre las personas Diputadas Forales,57.7
2012,42.3,%,Proporción de mujeres entre las personas Diputadas Forales,57.7
2011,42.3,%,Proporción de mujeres entre las personas Diputadas Forales,57.7
2010,36.4,%,Proporción de mujeres entre las personas Diputadas Forales,63.6
2016,50.0,%,Proporción de mujeres entre las personas Diputadas Forales,50.0
