Year,Value,Units,Series
2022,10.4,Microgramos por metro cúbico,"Nivel medio de partículas PM2,5 en las ciudades ponderado según la población"
2024,8.4,Microgramos por metro cúbico,"Nivel medio de partículas PM2,5 en las ciudades ponderado según la población"
2018,9.9,Microgramos por metro cúbico,"Nivel medio de partículas PM2,5 en las ciudades ponderado según la población"
2014,9.2,Microgramos por metro cúbico,"Nivel medio de partículas PM2,5 en las ciudades ponderado según la población"
2015,10.1,Microgramos por metro cúbico,"Nivel medio de partículas PM2,5 en las ciudades ponderado según la población"
2011,11.1,Microgramos por metro cúbico,"Nivel medio de partículas PM2,5 en las ciudades ponderado según la población"
2010,11.3,Microgramos por metro cúbico,"Nivel medio de partículas PM2,5 en las ciudades ponderado según la población"
2012,10.1,Microgramos por metro cúbico,"Nivel medio de partículas PM2,5 en las ciudades ponderado según la población"
2023,9.5,Microgramos por metro cúbico,"Nivel medio de partículas PM2,5 en las ciudades ponderado según la población"
2017,9.8,Microgramos por metro cúbico,"Nivel medio de partículas PM2,5 en las ciudades ponderado según la población"
2021,10.0,Microgramos por metro cúbico,"Nivel medio de partículas PM2,5 en las ciudades ponderado según la población"
2016,8.6,Microgramos por metro cúbico,"Nivel medio de partículas PM2,5 en las ciudades ponderado según la población"
2020,8.8,Microgramos por metro cúbico,"Nivel medio de partículas PM2,5 en las ciudades ponderado según la población"
2019,9.0,Microgramos por metro cúbico,"Nivel medio de partículas PM2,5 en las ciudades ponderado según la población"
2013,10.5,Microgramos por metro cúbico,"Nivel medio de partículas PM2,5 en las ciudades ponderado según la población"
2010,24.2,Microgramos por metro cúbico,Nivel medio de partículas PM10 en las ciudades ponderado según la población
2011,27.0,Microgramos por metro cúbico,Nivel medio de partículas PM10 en las ciudades ponderado según la población
2012,26.7,Microgramos por metro cúbico,Nivel medio de partículas PM10 en las ciudades ponderado según la población
2014,17.4,Microgramos por metro cúbico,Nivel medio de partículas PM10 en las ciudades ponderado según la población
2015,17.9,Microgramos por metro cúbico,Nivel medio de partículas PM10 en las ciudades ponderado según la población
2016,15.3,Microgramos por metro cúbico,Nivel medio de partículas PM10 en las ciudades ponderado según la población
2013,15.9,Microgramos por metro cúbico,Nivel medio de partículas PM10 en las ciudades ponderado según la población
2017,17.9,Microgramos por metro cúbico,Nivel medio de partículas PM10 en las ciudades ponderado según la población
2021,16.1,Microgramos por metro cúbico,Nivel medio de partículas PM10 en las ciudades ponderado según la población
2018,16.7,Microgramos por metro cúbico,Nivel medio de partículas PM10 en las ciudades ponderado según la población
2019,16.3,Microgramos por metro cúbico,Nivel medio de partículas PM10 en las ciudades ponderado según la población
2020,15.6,Microgramos por metro cúbico,Nivel medio de partículas PM10 en las ciudades ponderado según la población
2022,17.7,Microgramos por metro cúbico,Nivel medio de partículas PM10 en las ciudades ponderado según la población
2023,16.4,Microgramos por metro cúbico,Nivel medio de partículas PM10 en las ciudades ponderado según la población
2024,14.6,Microgramos por metro cúbico,Nivel medio de partículas PM10 en las ciudades ponderado según la población
