Year,Value,Units,Series,Progress
2010,45.3,%,Proportion of seats held by women in Basque Parliament,54.7
2014,49.3,%,Proportion of seats held by women in Basque Parliament,50.7
2023,49.3,%,Proportion of seats held by women in Basque Parliament,50.7
2016,53.3,%,Proportion of seats held by women in Basque Parliament,53.3
2021,50.7,%,Proportion of seats held by women in Basque Parliament,50.7
2024,52.0,%,Proportion of seats held by women in Basque Parliament,52.0
2017,53.3,%,Proportion of seats held by women in Basque Parliament,53.3
2011,45.3,%,Proportion of seats held by women in Basque Parliament,54.7
2022,50.7,%,Proportion of seats held by women in Basque Parliament,50.7
2015,49.3,%,Proportion of seats held by women in Basque Parliament,50.7
2020,50.7,%,Proportion of seats held by women in Basque Parliament,50.7
2012,49.3,%,Proportion of seats held by women in Basque Parliament,50.7
2019,53.3,%,Proportion of seats held by women in Basque Parliament,53.3
2025,53.3,%,Proportion of seats held by women in Basque Parliament,53.3
2013,49.3,%,Proportion of seats held by women in Basque Parliament,50.7
2018,53.3,%,Proportion of seats held by women in Basque Parliament,53.3
2022,45.5,%,Proportion of women among heads of departments in Basque Government,54.5
2013,50.0,%,Proportion of women among heads of departments in Basque Government,50.0
2011,50.0,%,Proportion of women among heads of departments in Basque Government,50.0
2025,46.7,%,Proportion of women among heads of departments in Basque Government,53.3
2019,63.6,%,Proportion of women among heads of departments in Basque Government,63.6
2014,50.0,%,Proportion of women among heads of departments in Basque Government,50.0
2018,41.7,%,Proportion of women among heads of departments in Basque Government,58.3
2017,41.7,%,Proportion of women among heads of departments in Basque Government,58.3
2021,45.5,%,Proportion of women among heads of departments in Basque Government,54.5
2020,45.5,%,Proportion of women among heads of departments in Basque Government,54.5
2023,45.5,%,Proportion of women among heads of departments in Basque Government,54.5
2012,50.0,%,Proportion of women among heads of departments in Basque Government,50.0
2016,50.0,%,Proportion of women among heads of departments in Basque Government,50.0
2024,46.7,%,Proportion of women among heads of departments in Basque Government,53.3
2015,50.0,%,Proportion of women among heads of departments in Basque Government,50.0
2010,45.5,%,Proportion of women among heads of departments in Basque Government,54.5
2021,54.2,%,Proportion of seats held by women in Provincial Assemblies,54.2
2018,48.1,%,Proportion of seats held by women in Provincial Assemblies,51.9
2012,48.4,%,Proportion of seats held by women in Provincial Assemblies,51.6
2015,48.1,%,Proportion of seats held by women in Provincial Assemblies,51.9
2022,54.2,%,Proportion of seats held by women in Provincial Assemblies,54.2
2014,48.4,%,Proportion of seats held by women in Provincial Assemblies,51.6
2020,54.2,%,Proportion of seats held by women in Provincial Assemblies,54.2
2016,48.1,%,Proportion of seats held by women in Provincial Assemblies,51.9
2025,44.4,%,Proportion of seats held by women in Provincial Assemblies,55.6
2013,48.4,%,Proportion of seats held by women in Provincial Assemblies,51.6
2011,48.4,%,Proportion of seats held by women in Provincial Assemblies,51.6
2024,48.4,%,Proportion of seats held by women in Provincial Assemblies,51.6
2023,48.4,%,Proportion of seats held by women in Provincial Assemblies,51.6
2010,41.2,%,Proportion of seats held by women in Provincial Assemblies,58.8
2017,48.1,%,Proportion of seats held by women in Provincial Assemblies,51.9
2019,54.2,%,Proportion of seats held by women in Provincial Assemblies,54.2
2023,66.7,%,Proportion of women among Provincial Deputies,66.7
2022,51.7,%,Proportion of women among Provincial Deputies,51.7
2021,55.2,%,Proportion of women among Provincial Deputies,55.2
2019,55.2,%,Proportion of women among Provincial Deputies,55.2
2018,50.0,%,Proportion of women among Provincial Deputies,50.0
2017,50.0,%,Proportion of women among Provincial Deputies,50.0
2015,50.0,%,Proportion of women among Provincial Deputies,50.0
2014,42.3,%,Proportion of women among Provincial Deputies,57.7
2013,42.3,%,Proportion of women among Provincial Deputies,57.7
2012,42.3,%,Proportion of women among Provincial Deputies,57.7
2011,42.3,%,Proportion of women among Provincial Deputies,57.7
2010,36.4,%,Proportion of women among Provincial Deputies,63.6
2016,50.0,%,Proportion of women among Provincial Deputies,50.0
2020,55.2,%,Proportion of women among Provincial Deputies,55.2
2024,66.7,%,Proportion of women among Provincial Deputies,66.7
2025,66.7,%,Proportion of women among Provincial Deputies,66.7
2025,46.8,%,Proportion of women among local councilors,53.2
2024,46.5,%,Proportion of women among local councilors,53.5
2023,48.3,%,Proportion of women among local councilors,51.7
2022,47.5,%,Proportion of women among local councilors,52.5
2021,47.5,%,Proportion of women among local councilors,52.5
2020,47.8,%,Proportion of women among local councilors,52.2
2019,47.8,%,Proportion of women among local councilors,52.2
2018,41.4,%,Proportion of women among local councilors,58.6
2017,41.4,%,Proportion of women among local councilors,58.6
2016,41.4,%,Proportion of women among local councilors,58.6
2015,41.4,%,Proportion of women among local councilors,58.6
2014,40.3,%,Proportion of women among local councilors,59.7
2013,40.5,%,Proportion of women among local councilors,59.5
2012,40.4,%,Proportion of women among local councilors,59.6
2011,40.4,%,Proportion of women among local councilors,59.6
2010,27.8,%,Proportion of women among local councilors,72.2
2024,34.3,%,Proportion of women among mayors,65.7
2023,33.1,%,Proportion of women among mayors,66.9
2022,30.3,%,Proportion of women among mayors,69.7
2021,30.3,%,Proportion of women among mayors,69.7
2020,29.2,%,Proportion of women among mayors,70.8
2019,29.2,%,Proportion of women among mayors,70.8
2018,25.2,%,Proportion of women among mayors,74.8
2017,25.2,%,Proportion of women among mayors,74.8
2016,25.2,%,Proportion of women among mayors,74.8
2015,25.2,%,Proportion of women among mayors,74.8
2014,23.1,%,Proportion of women among mayors,76.9
2013,22.3,%,Proportion of women among mayors,77.7
2012,22.0,%,Proportion of women among mayors,78.0
2011,22.0,%,Proportion of women among mayors,78.0
2010,19.9,%,Proportion of women among mayors,80.1
2025,35.7,%,Proportion of women among mayors,64.3
