Year,Value,Units,Series
2014,6842239.8,Millions of euros,Official development assistance for poverty reduction (total gross disbursement)
2015,6130790.6,Millions of euros,Official development assistance for poverty reduction (total gross disbursement)
2016,6943260.5,Millions of euros,Official development assistance for poverty reduction (total gross disbursement)
2017,8337348.6,Millions of euros,Official development assistance for poverty reduction (total gross disbursement)
2018,7918881.9,Millions of euros,Official development assistance for poverty reduction (total gross disbursement)
2019,6109368.2,Millions of euros,Official development assistance for poverty reduction (total gross disbursement)
2020,4986517.2,Millions of euros,Official development assistance for poverty reduction (total gross disbursement)
2021,7204235.5,Millions of euros,Official development assistance for poverty reduction (total gross disbursement)
2022,6880422.7,Millions of euros,Official development assistance for poverty reduction (total gross disbursement)
2023,6102050.6,Millions of euros,Official development assistance for poverty reduction (total gross disbursement)
2024,5907395.2,Millions of euros,Official development assistance for poverty reduction (total gross disbursement)
