Year,Value,Units,Series
2017,96.0,%,Lower secondary education completion rate (people aged 18-20)
2016,95.5,%,Lower secondary education completion rate (people aged 18-20)
2018,95.2,%,Lower secondary education completion rate (people aged 18-20)
2020,99.4,%,Lower secondary education completion rate (people aged 18-20)
2019,97.0,%,Lower secondary education completion rate (people aged 18-20)
2021,98.1,%,Lower secondary education completion rate (people aged 18-20)
2015,94.7,%,Lower secondary education completion rate (people aged 18-20)
2022,94.9,%,Lower secondary education completion rate (people aged 18-20)
2016,79.1,%,Upper secondary education completion rate (people aged 20-22)
2017,77.9,%,Upper secondary education completion rate (people aged 20-22)
2021,82.9,%,Upper secondary education completion rate (people aged 20-22)
2015,79.4,%,Upper secondary education completion rate (people aged 20-22)
2018,80.9,%,Upper secondary education completion rate (people aged 20-22)
2019,82.7,%,Upper secondary education completion rate (people aged 20-22)
2020,81.5,%,Upper secondary education completion rate (people aged 20-22)
2022,84.7,%,Upper secondary education completion rate (people aged 20-22)
