Year,Value,Units,Series
2022,10.4,Micrograms per cubic meter,Average levels of PM2.5 particulate matter in cities weighted by population
2024,8.4,Micrograms per cubic meter,Average levels of PM2.5 particulate matter in cities weighted by population
2018,9.9,Micrograms per cubic meter,Average levels of PM2.5 particulate matter in cities weighted by population
2014,9.2,Micrograms per cubic meter,Average levels of PM2.5 particulate matter in cities weighted by population
2015,10.1,Micrograms per cubic meter,Average levels of PM2.5 particulate matter in cities weighted by population
2011,11.1,Micrograms per cubic meter,Average levels of PM2.5 particulate matter in cities weighted by population
2010,11.3,Micrograms per cubic meter,Average levels of PM2.5 particulate matter in cities weighted by population
2012,10.1,Micrograms per cubic meter,Average levels of PM2.5 particulate matter in cities weighted by population
2023,9.5,Micrograms per cubic meter,Average levels of PM2.5 particulate matter in cities weighted by population
2017,9.8,Micrograms per cubic meter,Average levels of PM2.5 particulate matter in cities weighted by population
2021,10.0,Micrograms per cubic meter,Average levels of PM2.5 particulate matter in cities weighted by population
2016,8.6,Micrograms per cubic meter,Average levels of PM2.5 particulate matter in cities weighted by population
2020,8.8,Micrograms per cubic meter,Average levels of PM2.5 particulate matter in cities weighted by population
2019,9.0,Micrograms per cubic meter,Average levels of PM2.5 particulate matter in cities weighted by population
2013,10.5,Micrograms per cubic meter,Average levels of PM2.5 particulate matter in cities weighted by population
2010,24.2,Micrograms per cubic meter,Average levels of PM10 particulate matter in cities weighted by population
2011,27.0,Micrograms per cubic meter,Average levels of PM10 particulate matter in cities weighted by population
2012,26.7,Micrograms per cubic meter,Average levels of PM10 particulate matter in cities weighted by population
2014,17.4,Micrograms per cubic meter,Average levels of PM10 particulate matter in cities weighted by population
2015,17.9,Micrograms per cubic meter,Average levels of PM10 particulate matter in cities weighted by population
2016,15.3,Micrograms per cubic meter,Average levels of PM10 particulate matter in cities weighted by population
2013,15.9,Micrograms per cubic meter,Average levels of PM10 particulate matter in cities weighted by population
2017,17.9,Micrograms per cubic meter,Average levels of PM10 particulate matter in cities weighted by population
2021,16.1,Micrograms per cubic meter,Average levels of PM10 particulate matter in cities weighted by population
2018,16.7,Micrograms per cubic meter,Average levels of PM10 particulate matter in cities weighted by population
2019,16.3,Micrograms per cubic meter,Average levels of PM10 particulate matter in cities weighted by population
2020,15.6,Micrograms per cubic meter,Average levels of PM10 particulate matter in cities weighted by population
2022,17.7,Micrograms per cubic meter,Average levels of PM10 particulate matter in cities weighted by population
2023,16.4,Micrograms per cubic meter,Average levels of PM10 particulate matter in cities weighted by population
2024,14.6,Micrograms per cubic meter,Average levels of PM10 particulate matter in cities weighted by population
