Year,Series,Territorio histórico,Comarca,Municipio,Units,GeoCode,Progress,Value
2020,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Añana,%,Añana,153.2,46.8
2017,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Añana,%,Añana,152.43,47.57
2011,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Añana,%,Añana,172.0,172.0
2018,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Añana,%,Añana,108.01,91.99
2021,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Añana,%,Añana,176.15,23.85
2019,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Añana,%,Añana,122.99,77.01
2018,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arakaldo,%,Arakaldo,109.02,90.98
2021,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arakaldo,%,Arakaldo,147.48,52.52
2011,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arakaldo,%,Arakaldo,142.75,142.75
2014,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arakaldo,%,Arakaldo,115.21,84.79
2013,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arakaldo,%,Arakaldo,105.95,94.05
2016,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arakaldo,%,Arakaldo,100.14,99.86
2012,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arakaldo,%,Arakaldo,152.77,152.77
2015,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arakaldo,%,Arakaldo,118.44,118.44
2017,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arakaldo,%,Arakaldo,111.1,111.1
2020,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arakaldo,%,Arakaldo,109.72,109.72
2019,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arakaldo,%,Arakaldo,100.54,100.54
2010,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arakaldo,%,Arakaldo,113.2,113.2
2022,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arakaldo,%,Arakaldo,141.74,141.74
2023,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arakaldo,%,Arakaldo,122.31,122.31
2014,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arama,%,Arama,113.09,113.09
2015,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arama,%,Arama,104.49,104.49
2018,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arama,%,Arama,102.26,102.26
2019,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arama,%,Arama,119.31,80.69
2010,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arama,%,Arama,111.44,88.56
2011,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arama,%,Arama,175.23,175.23
2020,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arama,%,Arama,143.42000000000002,56.58
2017,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arama,%,Arama,104.91,104.91
2023,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arama,%,Arama,126.98,73.02
2016,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arama,%,Arama,100.98,100.98
2022,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arama,%,Arama,125.58,74.42
2021,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arama,%,Arama,121.21,78.79
2012,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arama,%,Arama,108.11,91.89
2013,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arama,%,Arama,170.91,170.91
2017,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aramaio,%,Aramaio,105.29,105.29
2012,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aramaio,%,Aramaio,135.17,135.17
2022,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aramaio,%,Aramaio,125.7,74.3
2013,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aramaio,%,Aramaio,110.41,89.59
2019,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aramaio,%,Aramaio,123.08,76.92
2020,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aramaio,%,Aramaio,108.0,92.0
2015,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aramaio,%,Aramaio,102.12,102.12
2014,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aramaio,%,Aramaio,113.57,113.57
2010,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aramaio,%,Aramaio,141.07,141.07
2021,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aramaio,%,Aramaio,100.9,99.1
2023,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aramaio,%,Aramaio,113.0,113.0
2016,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aramaio,%,Aramaio,114.57,85.43
2011,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aramaio,%,Aramaio,112.1,112.1
2018,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aramaio,%,Aramaio,107.11,92.89
2012,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arantzazu,%,Arantzazu,103.51,103.51
2022,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arantzazu,%,Arantzazu,117.77,117.77
2014,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arantzazu,%,Arantzazu,107.68,107.68
2017,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arantzazu,%,Arantzazu,113.28,113.28
2010,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arantzazu,%,Arantzazu,179.04,179.04
2013,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arantzazu,%,Arantzazu,100.84,100.84
2018,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arantzazu,%,Arantzazu,101.07,98.93
2019,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arantzazu,%,Arantzazu,100.04,99.96
2016,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arantzazu,%,Arantzazu,111.61,88.39
2021,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arantzazu,%,Arantzazu,107.22,107.22
2011,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arantzazu,%,Arantzazu,130.93,130.93
2020,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arantzazu,%,Arantzazu,105.51,94.49
2015,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arantzazu,%,Arantzazu,103.75,96.25
2023,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arantzazu,%,Arantzazu,116.92,116.92
2014,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Areatza,%,Areatza,100.65,99.35
2012,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Areatza,%,Areatza,108.52,91.48
2018,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Areatza,%,Areatza,105.13,94.87
2023,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Areatza,%,Areatza,110.58,110.58
2015,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Areatza,%,Areatza,116.1,116.1
2022,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Areatza,%,Areatza,116.89,116.89
2013,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Areatza,%,Areatza,107.54,92.46
2021,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Areatza,%,Areatza,101.66,101.66
2010,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Areatza,%,Areatza,100.58,99.42
2011,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Areatza,%,Areatza,110.47,89.53
2019,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Areatza,%,Areatza,102.11,102.11
2017,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Areatza,%,Areatza,106.95,93.05
2020,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Areatza,%,Areatza,111.58,88.42
2016,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Areatza,%,Areatza,106.25,93.75
2011,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aretxabaleta,%,Aretxabaleta,107.63,107.63
2017,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aretxabaleta,%,Aretxabaleta,100.31,100.31
2016,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aretxabaleta,%,Aretxabaleta,100.14,100.14
2012,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aretxabaleta,%,Aretxabaleta,127.47,127.47
2013,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aretxabaleta,%,Aretxabaleta,107.26,92.74
2018,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aretxabaleta,%,Aretxabaleta,108.41,91.59
2010,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aretxabaleta,%,Aretxabaleta,112.13,112.13
2019,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aretxabaleta,%,Aretxabaleta,102.03,97.97
2015,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aretxabaleta,%,Aretxabaleta,102.06,102.06
2014,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aretxabaleta,%,Aretxabaleta,103.79,96.21
2023,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aretxabaleta,%,Aretxabaleta,125.86,74.14
2021,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aretxabaleta,%,Aretxabaleta,126.52,73.48
2022,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aretxabaleta,%,Aretxabaleta,118.17,81.83
2020,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aretxabaleta,%,Aretxabaleta,108.23,91.77
2022,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Armiñón,%,Armiñón,105.47,94.53
2015,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Armiñón,%,Armiñón,122.85,77.15
2010,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Armiñón,%,Armiñón,142.66,57.34
2012,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Armiñón,%,Armiñón,301.16,301.16
2020,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Armiñón,%,Armiñón,130.25,69.75
2016,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Armiñón,%,Armiñón,118.54,81.46
2018,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Armiñón,%,Armiñón,107.1,92.9
2011,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Armiñón,%,Armiñón,132.45,67.55
2023,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Armiñón,%,Armiñón,108.49,108.49
2017,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Armiñón,%,Armiñón,110.13,110.13
2021,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Armiñón,%,Armiñón,112.02,112.02
2019,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Armiñón,%,Armiñón,115.56,84.44
2013,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Armiñón,%,Armiñón,152.49,47.51
2014,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Armiñón,%,Armiñón,113.32,86.68
2021,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arraia-Maeztu,%,Arraia-Maeztu,122.27,122.27
2015,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arraia-Maeztu,%,Arraia-Maeztu,103.44,103.44
2016,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arraia-Maeztu,%,Arraia-Maeztu,143.23,143.23
2012,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arraia-Maeztu,%,Arraia-Maeztu,157.81,157.81
2019,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arraia-Maeztu,%,Arraia-Maeztu,124.44,124.44
2017,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arraia-Maeztu,%,Arraia-Maeztu,111.69,111.69
2014,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arraia-Maeztu,%,Arraia-Maeztu,101.67,101.67
2020,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arraia-Maeztu,%,Arraia-Maeztu,147.47,147.47
2022,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arraia-Maeztu,%,Arraia-Maeztu,146.16,146.16
2011,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arraia-Maeztu,%,Arraia-Maeztu,107.65,107.65
2013,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arraia-Maeztu,%,Arraia-Maeztu,113.73,113.73
2010,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arraia-Maeztu,%,Arraia-Maeztu,253.28,253.28
2023,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arraia-Maeztu,%,Arraia-Maeztu,112.78,87.22
2018,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arraia-Maeztu,%,Arraia-Maeztu,116.73,116.73
2017,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,100.43,99.57
2019,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,119.05,80.95
2012,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,102.49,97.51
2014,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,113.64,86.36
2011,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,118.58,118.58
2016,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,100.66,100.66
2018,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,102.5,102.5
2023,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,131.23,131.23
2020,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,143.85,56.15
2015,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,105.2,94.8
2010,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,121.38,121.38
2022,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,117.0,117.0
2021,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,119.21,119.21
2013,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,102.56,97.44
2012,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrasate/Mondragón,%,Arrasate/Mondragón,108.63,91.37
2022,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrasate/Mondragón,%,Arrasate/Mondragón,102.68,102.68
2017,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrasate/Mondragón,%,Arrasate/Mondragón,106.73,93.27
2020,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrasate/Mondragón,%,Arrasate/Mondragón,103.57,96.43
2013,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrasate/Mondragón,%,Arrasate/Mondragón,101.8,98.2
2011,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrasate/Mondragón,%,Arrasate/Mondragón,102.77,102.77
2016,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrasate/Mondragón,%,Arrasate/Mondragón,109.35,90.65
2019,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrasate/Mondragón,%,Arrasate/Mondragón,101.5,98.5
2021,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrasate/Mondragón,%,Arrasate/Mondragón,103.15,103.15
2014,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrasate/Mondragón,%,Arrasate/Mondragón,109.49,90.51
2018,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrasate/Mondragón,%,Arrasate/Mondragón,101.36,98.64
2010,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrasate/Mondragón,%,Arrasate/Mondragón,101.81,98.19
2015,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrasate/Mondragón,%,Arrasate/Mondragón,100.42,100.42
2023,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrasate/Mondragón,%,Arrasate/Mondragón,106.28,93.72
2023,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arratzu,%,Arratzu,142.36,142.36
2013,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arratzu,%,Arratzu,107.93,92.07
2021,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arratzu,%,Arratzu,109.82,109.82
2020,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arratzu,%,Arratzu,121.3,78.7
2017,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arratzu,%,Arratzu,109.28,90.72
2011,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arratzu,%,Arratzu,155.91,155.91
2022,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arratzu,%,Arratzu,101.96,101.96
2018,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arratzu,%,Arratzu,125.83,74.17
2012,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arratzu,%,Arratzu,111.01,88.99
2014,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arratzu,%,Arratzu,188.5,188.5
2015,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arratzu,%,Arratzu,127.85,127.85
2016,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arratzu,%,Arratzu,100.54,99.46
2019,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arratzu,%,Arratzu,110.75,110.75
2010,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arratzu,%,Arratzu,129.51,70.49
2012,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,121.53,78.47
2018,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,114.47,85.53
2023,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,136.64,136.64
2017,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,110.94,89.06
2014,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,123.11,76.89
2015,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,106.82,93.18
2013,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,113.12,86.88
2010,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,160.08,160.08
2019,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,112.44,87.56
2020,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,115.14,84.86
2016,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,117.96,82.04
2022,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,115.79,84.21
2011,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,103.46,96.54
2021,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,117.68,82.32
2016,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrieta,%,Arrieta,111.59,88.41
2010,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrieta,%,Arrieta,104.32,95.68
2019,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrieta,%,Arrieta,111.69,111.69
2015,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrieta,%,Arrieta,106.29,106.29
2014,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrieta,%,Arrieta,117.33,82.67
2021,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrieta,%,Arrieta,117.86,82.14
2012,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrieta,%,Arrieta,101.8,98.2
2020,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrieta,%,Arrieta,114.19,85.81
2022,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrieta,%,Arrieta,125.31,125.31
2023,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrieta,%,Arrieta,174.63,174.63
2011,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrieta,%,Arrieta,110.71,110.71
2017,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrieta,%,Arrieta,112.74,87.26
2013,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrieta,%,Arrieta,105.39,94.61
2018,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrieta,%,Arrieta,108.52,91.48
2020,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrigorriaga,%,Arrigorriaga,103.33,96.67
2014,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrigorriaga,%,Arrigorriaga,105.83,105.83
2021,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrigorriaga,%,Arrigorriaga,105.11,94.89
2013,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrigorriaga,%,Arrigorriaga,100.32,100.32
2022,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrigorriaga,%,Arrigorriaga,100.21,100.21
2012,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrigorriaga,%,Arrigorriaga,109.92,90.08
2017,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrigorriaga,%,Arrigorriaga,102.75,97.25
2016,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrigorriaga,%,Arrigorriaga,103.14,96.86
2023,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrigorriaga,%,Arrigorriaga,102.85,102.85
2019,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrigorriaga,%,Arrigorriaga,111.1,111.1
2015,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrigorriaga,%,Arrigorriaga,100.67,100.67
2010,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrigorriaga,%,Arrigorriaga,103.27,103.27
2018,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrigorriaga,%,Arrigorriaga,111.21,88.79
2011,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Arrigorriaga,%,Arrigorriaga,106.88,106.88
2017,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Artea,%,Artea,117.6,117.6
2014,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Artea,%,Artea,117.36,82.64
2019,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Artea,%,Artea,101.4,101.4
2016,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Artea,%,Artea,101.3,98.7
2013,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Artea,%,Artea,119.46,80.54
2012,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Artea,%,Artea,119.3,80.7
2022,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Artea,%,Artea,102.96,102.96
2020,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Artea,%,Artea,106.26,93.74
2015,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Artea,%,Artea,101.77,101.77
