Year,Series,Territorio histórico,Comarca,Municipio,Units,GeoCode,Progress,Value
2015,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,110.54,110.54
2010,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,105.57,94.43
2022,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,101.44,101.44
2023,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,103.44,96.56
2014,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,104.67,95.33
2011,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,105.97,105.97
2019,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,100.5,100.5
2018,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,100.15,100.15
2013,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,104.61,95.39
2017,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,101.34,101.34
2016,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,101.47,101.47
2020,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,109.47,90.53
2023,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aduna,%,Aduna,135.47,64.53
2011,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aduna,%,Aduna,131.54000000000002,68.46
2010,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aduna,%,Aduna,109.26,90.74
2016,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aduna,%,Aduna,125.19,125.19
2022,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aduna,%,Aduna,116.66,116.66
2017,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aduna,%,Aduna,111.6,88.4
2019,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aduna,%,Aduna,147.22,147.22
2015,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aduna,%,Aduna,108.92,108.92
2014,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aduna,%,Aduna,110.44,89.56
2013,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aduna,%,Aduna,138.57999999999998,61.42
2020,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aduna,%,Aduna,110.8,89.2
2018,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aduna,%,Aduna,118.4,118.4
2012,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aduna,%,Aduna,146.02,53.98
2021,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aduna,%,Aduna,122.09,77.91
2021,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Agurain/Salvatierra,%,Agurain/Salvatierra,123.25,76.75
2013,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Agurain/Salvatierra,%,Agurain/Salvatierra,107.77,92.23
2012,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Agurain/Salvatierra,%,Agurain/Salvatierra,111.93,88.07
2011,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Agurain/Salvatierra,%,Agurain/Salvatierra,117.25,82.75
2022,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Agurain/Salvatierra,%,Agurain/Salvatierra,102.34,97.66
2015,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Agurain/Salvatierra,%,Agurain/Salvatierra,120.69,79.31
2014,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Agurain/Salvatierra,%,Agurain/Salvatierra,115.5,84.5
2010,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Agurain/Salvatierra,%,Agurain/Salvatierra,123.18,76.82
2019,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Agurain/Salvatierra,%,Agurain/Salvatierra,109.09,90.91
2017,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Agurain/Salvatierra,%,Agurain/Salvatierra,117.48,82.52
2016,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Agurain/Salvatierra,%,Agurain/Salvatierra,122.98,77.02
2020,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Agurain/Salvatierra,%,Agurain/Salvatierra,130.64,69.36
2018,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Agurain/Salvatierra,%,Agurain/Salvatierra,106.98,93.02
2023,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Agurain/Salvatierra,%,Agurain/Salvatierra,108.64,91.36
2020,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aia,%,Aia,117.81,117.81
2022,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aia,%,Aia,110.48,110.48
2010,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aia,%,Aia,102.27,102.27
2021,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aia,%,Aia,112.07,87.93
2015,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aia,%,Aia,128.16,71.84
2018,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aia,%,Aia,109.51,109.51
2016,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aia,%,Aia,131.32,131.32
2014,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aia,%,Aia,127.0,73.0
2012,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aia,%,Aia,134.76,65.24
2023,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aia,%,Aia,105.32,105.32
2019,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aia,%,Aia,112.25,87.75
2011,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aia,%,Aia,121.53,78.47
2013,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aia,%,Aia,109.37,90.63
2017,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aia,%,Aia,116.2,83.8
2023,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aizarnazabal,%,Aizarnazabal,103.63,103.63
2014,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aizarnazabal,%,Aizarnazabal,102.83,102.83
2012,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aizarnazabal,%,Aizarnazabal,108.54,108.54
2021,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aizarnazabal,%,Aizarnazabal,104.32,95.68
2010,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aizarnazabal,%,Aizarnazabal,109.67,90.33
2019,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aizarnazabal,%,Aizarnazabal,117.46,82.54
2015,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aizarnazabal,%,Aizarnazabal,101.43,98.57
2018,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aizarnazabal,%,Aizarnazabal,119.76,80.24
2016,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aizarnazabal,%,Aizarnazabal,114.23,85.77
2020,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aizarnazabal,%,Aizarnazabal,112.07,87.93
2011,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aizarnazabal,%,Aizarnazabal,105.09,94.91
2013,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aizarnazabal,%,Aizarnazabal,108.27,91.73
2022,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aizarnazabal,%,Aizarnazabal,114.04,85.96
2017,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Aizarnazabal,%,Aizarnazabal,127.87,72.13
2018,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Ajangiz,%,Ajangiz,121.79,121.79
2022,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Ajangiz,%,Ajangiz,110.21,110.21
2021,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Ajangiz,%,Ajangiz,112.08,112.08
2014,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Ajangiz,%,Ajangiz,122.79,122.79
2019,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Ajangiz,%,Ajangiz,120.34,79.66
2016,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Ajangiz,%,Ajangiz,121.62,121.62
2011,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Ajangiz,%,Ajangiz,117.34,117.34
2013,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Ajangiz,%,Ajangiz,116.53,83.47
2020,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Ajangiz,%,Ajangiz,119.39,80.61
2010,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Ajangiz,%,Ajangiz,122.58,77.42
2017,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Ajangiz,%,Ajangiz,117.8,82.2
2015,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Ajangiz,%,Ajangiz,117.83,117.83
2023,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Ajangiz,%,Ajangiz,102.26,102.26
2012,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Ajangiz,%,Ajangiz,114.98,85.02
2011,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Albiztur,%,Albiztur,119.62,119.62
2014,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Albiztur,%,Albiztur,108.96,91.04
2017,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Albiztur,%,Albiztur,124.91,124.91
2015,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Albiztur,%,Albiztur,170.86,170.86
2012,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Albiztur,%,Albiztur,107.1,107.1
2013,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Albiztur,%,Albiztur,111.91,111.91
2020,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Albiztur,%,Albiztur,100.68,100.68
2021,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Albiztur,%,Albiztur,111.86,111.86
2022,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Albiztur,%,Albiztur,136.39,136.39
2016,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Albiztur,%,Albiztur,105.15,105.15
2019,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Albiztur,%,Albiztur,111.27,111.27
2010,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Albiztur,%,Albiztur,141.27,141.27
2018,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Albiztur,%,Albiztur,109.42,109.42
2023,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Albiztur,%,Albiztur,116.37,83.63
2018,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alegia,%,Alegia,125.06,125.06
2021,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alegia,%,Alegia,114.77,114.77
2014,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alegia,%,Alegia,105.17,105.17
2010,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alegia,%,Alegia,104.11,95.89
2016,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alegia,%,Alegia,104.4,95.6
2013,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alegia,%,Alegia,103.7,103.7
2012,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alegia,%,Alegia,106.01,93.99
2019,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alegia,%,Alegia,105.87,94.13
2017,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alegia,%,Alegia,127.18,127.18
2015,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alegia,%,Alegia,113.51,113.51
2011,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alegia,%,Alegia,100.82,99.18
2023,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alegia,%,Alegia,111.21,88.79
2022,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alegia,%,Alegia,105.12,94.88
2020,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alegia,%,Alegia,115.2,84.8
2013,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alegría-Dulantzi,%,Alegría-Dulantzi,120.08,79.92
2017,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alegría-Dulantzi,%,Alegría-Dulantzi,127.47,72.53
2019,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alegría-Dulantzi,%,Alegría-Dulantzi,113.56,86.44
2012,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alegría-Dulantzi,%,Alegría-Dulantzi,114.06,85.94
2023,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alegría-Dulantzi,%,Alegría-Dulantzi,118.03,81.97
2021,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alegría-Dulantzi,%,Alegría-Dulantzi,147.91,52.09
2018,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alegría-Dulantzi,%,Alegría-Dulantzi,105.87,105.87
2016,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alegría-Dulantzi,%,Alegría-Dulantzi,106.61,93.39
2011,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alegría-Dulantzi,%,Alegría-Dulantzi,115.68,84.32
2015,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alegría-Dulantzi,%,Alegría-Dulantzi,103.17,103.17
2010,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alegría-Dulantzi,%,Alegría-Dulantzi,111.59,111.59
2020,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alegría-Dulantzi,%,Alegría-Dulantzi,108.14,91.86
2022,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alegría-Dulantzi,%,Alegría-Dulantzi,145.22,54.78
2014,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alegría-Dulantzi,%,Alegría-Dulantzi,116.98,83.02
2022,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alkiza,%,Alkiza,120.56,79.44
2021,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alkiza,%,Alkiza,101.3,101.3
2023,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alkiza,%,Alkiza,119.12,119.12
2012,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alkiza,%,Alkiza,122.04,77.96
2014,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alkiza,%,Alkiza,102.07,97.93
2019,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alkiza,%,Alkiza,120.41,79.59
2010,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alkiza,%,Alkiza,102.1,97.9
2015,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alkiza,%,Alkiza,102.28,97.72
2018,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alkiza,%,Alkiza,101.96,101.96
2016,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alkiza,%,Alkiza,112.05,112.05
2017,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alkiza,%,Alkiza,105.56,94.44
2011,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alkiza,%,Alkiza,109.99,90.01
