Year,Okupazioa,Lurralde historikoa,Units,Progress,Value
2010,Goi-zuzendaritza,Bizkaia,%,65.1,34.9
2014,Goi-zuzendaritza,Bizkaia,%,74.8,25.2
2022,Goi-zuzendaritza,Bizkaia,%,68.9,31.1
2011,Goi-zuzendaritza,Bizkaia,%,70.7,29.3
2016,Goi-zuzendaritza,Bizkaia,%,70.1,29.9
2024,Goi-zuzendaritza,Gipuzkoa,%,70.6,29.4
2022,Goi-zuzendaritza,Gipuzkoa,%,75.1,24.9
2017,Goi-zuzendaritza,Gipuzkoa,%,66.3,33.7
2018,Goi-zuzendaritza,Gipuzkoa,%,66.2,33.8
2019,Goi-zuzendaritza,Gipuzkoa,%,70.4,29.6
2015,Goi-zuzendaritza,Gipuzkoa,%,73.9,26.1
2014,Goi-zuzendaritza,Gipuzkoa,%,67.6,32.4
2011,Goi-zuzendaritza,Gipuzkoa,%,74.6,25.4
2012,Goi-zuzendaritza,Gipuzkoa,%,73.0,27.0
2010,Goi-zuzendaritza,Gipuzkoa,%,71.6,28.4
2013,Goi-zuzendaritza,Gipuzkoa,%,66.2,33.8
2016,Goi-zuzendaritza,Gipuzkoa,%,66.8,33.2
2020,Goi-zuzendaritza,Gipuzkoa,%,73.1,26.9
2021,Goi-zuzendaritza,Gipuzkoa,%,70.9,29.1
2023,Goi-zuzendaritza,Gipuzkoa,%,73.8,26.2
2011,Enpresaria,,%,65.5,34.5
2019,Enpresaria,,%,64.9,35.1
2020,Enpresaria,,%,65.6,34.4
2014,Enpresaria,,%,64.8,35.2
2024,Enpresaria,,%,62.8,37.2
2021,Enpresaria,,%,66.5,33.5
2017,Enpresaria,,%,65.5,34.5
2015,Enpresaria,,%,66.3,33.7
2023,Enpresaria,,%,64.9,35.1
2016,Enpresaria,,%,65.3,34.7
2012,Enpresaria,,%,64.0,36.0
2022,Enpresaria,,%,66.9,33.1
2010,Enpresaria,,%,67.4,32.6
2018,Enpresaria,,%,64.6,35.4
2013,Enpresaria,,%,65.3,34.7
2020,Enpresaria,Araba / Álava,%,69.1,30.9
2019,Enpresaria,Araba / Álava,%,65.4,34.6
2018,Enpresaria,Araba / Álava,%,64.0,36.0
2011,Enpresaria,Araba / Álava,%,68.2,31.8
2015,Enpresaria,Araba / Álava,%,63.3,36.7
2013,Enpresaria,Araba / Álava,%,68.2,31.8
2017,Enpresaria,Araba / Álava,%,67.2,32.8
2024,Enpresaria,Araba / Álava,%,72.7,27.3
2022,Enpresaria,Araba / Álava,%,69.3,30.7
2016,Enpresaria,Araba / Álava,%,65.1,34.9
2010,Enpresaria,Araba / Álava,%,64.8,35.2
2012,Enpresaria,Araba / Álava,%,66.4,33.6
2014,Enpresaria,Araba / Álava,%,66.7,33.3
2021,Enpresaria,Araba / Álava,%,68.7,31.3
2023,Enpresaria,Araba / Álava,%,72.3,27.7
2015,Enpresaria,Bizkaia,%,67.0,33.0
2024,Enpresaria,Bizkaia,%,62.3,37.7
2023,Enpresaria,Bizkaia,%,63.0,37.0
2022,Enpresaria,Bizkaia,%,65.4,34.6
2021,Enpresaria,Bizkaia,%,66.5,33.5
2020,Enpresaria,Bizkaia,%,64.2,35.8
2019,Enpresaria,Bizkaia,%,65.1,34.9
2017,Enpresaria,Bizkaia,%,66.2,33.8
2016,Enpresaria,Bizkaia,%,66.0,34.0
2014,Enpresaria,Bizkaia,%,65.1,34.9
2013,Enpresaria,Bizkaia,%,64.3,35.7
2012,Enpresaria,Bizkaia,%,63.1,36.9
2011,Enpresaria,Bizkaia,%,63.4,36.6
2018,Enpresaria,Bizkaia,%,65.0,35.0
2010,Enpresaria,Bizkaia,%,66.5,33.5
2022,Enpresaria,Gipuzkoa,%,68.0,32.0
2021,Enpresaria,Gipuzkoa,%,65.7,34.3
2019,Enpresaria,Gipuzkoa,%,64.4,35.6
2018,Enpresaria,Gipuzkoa,%,64.3,35.7
2024,Enpresaria,Gipuzkoa,%,60.0,40.0
2017,Enpresaria,Gipuzkoa,%,63.8,36.2
2013,Enpresaria,Gipuzkoa,%,65.5,34.5
2016,Enpresaria,Gipuzkoa,%,64.4,35.6
2012,Enpresaria,Gipuzkoa,%,64.4,35.6
2010,Enpresaria,Gipuzkoa,%,69.5,30.5
2011,Enpresaria,Gipuzkoa,%,67.4,32.6
2020,Enpresaria,Gipuzkoa,%,66.6,33.4
2014,Enpresaria,Gipuzkoa,%,63.6,36.4
2015,Enpresaria,Gipuzkoa,%,66.8,33.2
2023,Enpresaria,Gipuzkoa,%,64.7,35.3
