Year,Series,Sexua,Lurralde historikoa,Units,Value
2019,EU_SDG_11_52_PER_100000,Emakumea,,100.000 biztanleko,15.3
2017,EU_SDG_11_52_NR,Emakumea,,NR,298.0
2015,EU_SDG_11_52_NR,Emakumea,,NR,411.0
2020,EU_SDG_11_52_PER_100000,Emakumea,Araba / Álava,100.000 biztanleko,12.9
2021,EU_SDG_11_52_PER_100000,Emakumea,Araba / Álava,100.000 biztanleko,11.2
2022,EU_SDG_11_52_PER_100000,Emakumea,Araba / Álava,100.000 biztanleko,15.4
2017,EU_SDG_11_52_PER_100000,Emakumea,Araba / Álava,100.000 biztanleko,11.8
2017,EU_SDG_11_52_NR,Emakumea,Araba / Álava,NR,40.0
2022,EU_SDG_11_52_NR,Emakumea,Araba / Álava,NR,54.0
2015,EU_SDG_11_52_PER_100000,Emakumea,Araba / Álava,100.000 biztanleko,17.0
2023,EU_SDG_11_52_PER_100000,Emakumea,Araba / Álava,100.000 biztanleko,10.1
2016,EU_SDG_11_52_PER_100000,Emakumea,Araba / Álava,100.000 biztanleko,11.6
2015,EU_SDG_11_52_NR,Emakumea,Araba / Álava,NR,57.0
2016,EU_SDG_11_52_NR,Emakumea,Araba / Álava,NR,39.0
2018,EU_SDG_11_52_NR,Emakumea,Araba / Álava,NR,59.0
2019,EU_SDG_11_52_NR,Emakumea,Araba / Álava,NR,45.0
2019,EU_SDG_11_52_PER_100000,Emakumea,Araba / Álava,100.000 biztanleko,13.1
2018,EU_SDG_11_52_PER_100000,Emakumea,Araba / Álava,100.000 biztanleko,17.3
2020,EU_SDG_11_52_NR,Emakumea,Araba / Álava,NR,45.0
2021,EU_SDG_11_52_NR,Emakumea,Araba / Álava,NR,39.0
2023,EU_SDG_11_52_NR,Emakumea,Araba / Álava,NR,36.0
2015,EU_SDG_11_52_NR,Emakumea,Bizkaia,NR,247.0
2018,EU_SDG_11_52_PER_100000,Emakumea,Bizkaia,100.000 biztanleko,22.6
2019,EU_SDG_11_52_PER_100000,Emakumea,Bizkaia,100.000 biztanleko,17.7
2023,EU_SDG_11_52_NR,Emakumea,Bizkaia,NR,183.0
2021,EU_SDG_11_52_NR,Emakumea,Bizkaia,NR,189.0
2017,EU_SDG_11_52_NR,Emakumea,Bizkaia,NR,189.0
2018,EU_SDG_11_52_NR,Emakumea,Bizkaia,NR,244.0
2020,EU_SDG_11_52_NR,Emakumea,Bizkaia,NR,190.0
2022,EU_SDG_11_52_NR,Emakumea,Bizkaia,NR,228.0
2015,EU_SDG_11_52_PER_100000,Emakumea,Bizkaia,100.000 biztanleko,22.4
2016,EU_SDG_11_52_PER_100000,Emakumea,Bizkaia,100.000 biztanleko,16.2
2017,EU_SDG_11_52_PER_100000,Emakumea,Bizkaia,100.000 biztanleko,17.4
2020,EU_SDG_11_52_PER_100000,Emakumea,Bizkaia,100.000 biztanleko,17.7
2021,EU_SDG_11_52_PER_100000,Emakumea,Bizkaia,100.000 biztanleko,17.7
2022,EU_SDG_11_52_PER_100000,Emakumea,Bizkaia,100.000 biztanleko,21.3
2016,EU_SDG_11_52_NR,Emakumea,Bizkaia,NR,177.0
2019,EU_SDG_11_52_NR,Emakumea,Bizkaia,NR,190.0
2023,EU_SDG_11_52_PER_100000,Emakumea,Bizkaia,100.000 biztanleko,16.9
2022,EU_SDG_11_52_PER_100000,Emakumea,Gipuzkoa,100.000 biztanleko,14.4
2017,EU_SDG_11_52_PER_100000,Emakumea,Gipuzkoa,100.000 biztanleko,10.3
2023,EU_SDG_11_52_PER_100000,Emakumea,Gipuzkoa,100.000 biztanleko,9.8
2015,EU_SDG_11_52_NR,Emakumea,Gipuzkoa,NR,106.0
2020,EU_SDG_11_52_PER_100000,Emakumea,Gipuzkoa,100.000 biztanleko,10.4
2016,EU_SDG_11_52_NR,Emakumea,Gipuzkoa,NR,61.0
2018,EU_SDG_11_52_NR,Emakumea,Gipuzkoa,NR,114.0
2018,EU_SDG_11_52_PER_100000,Emakumea,Gipuzkoa,100.000 biztanleko,17.4
2020,EU_SDG_11_52_NR,Emakumea,Gipuzkoa,NR,67.0
2017,EU_SDG_11_52_NR,Emakumea,Gipuzkoa,NR,68.0
2021,EU_SDG_11_52_NR,Emakumea,Gipuzkoa,NR,70.0
2019,EU_SDG_11_52_NR,Emakumea,Gipuzkoa,NR,81.0
2023,EU_SDG_11_52_NR,Emakumea,Gipuzkoa,NR,64.0
2022,EU_SDG_11_52_NR,Emakumea,Gipuzkoa,NR,93.0
2015,EU_SDG_11_52_PER_100000,Emakumea,Gipuzkoa,100.000 biztanleko,15.7
2016,EU_SDG_11_52_PER_100000,Emakumea,Gipuzkoa,100.000 biztanleko,9.2
2019,EU_SDG_11_52_PER_100000,Emakumea,Gipuzkoa,100.000 biztanleko,12.5
2021,EU_SDG_11_52_PER_100000,Emakumea,Gipuzkoa,100.000 biztanleko,10.9
2018,EU_SDG_11_52_PER_100000,Gizona,,100.000 biztanleko,20.9
2017,EU_SDG_11_52_NR,Gizona,,NR,296.0
2023,EU_SDG_11_52_PER_100000,Gizona,,100.000 biztanleko,14.1
2019,EU_SDG_11_52_NR,Gizona,,NR,319.0
2016,EU_SDG_11_52_NR,Gizona,,NR,281.0
2017,EU_SDG_11_52_PER_100000,Gizona,,100.000 biztanleko,14.7
2016,EU_SDG_11_52_PER_100000,Gizona,,100.000 biztanleko,13.9
2022,EU_SDG_11_52_NR,Gizona,,NR,373.0
2015,EU_SDG_11_52_NR,Gizona,,NR,410.0
2020,EU_SDG_11_52_NR,Gizona,,NR,303.0
2015,EU_SDG_11_52_PER_100000,Gizona,,100.000 biztanleko,20.1
2019,EU_SDG_11_52_PER_100000,Gizona,,100.000 biztanleko,16.0
2021,EU_SDG_11_52_NR,Gizona,,NR,308.0
2021,EU_SDG_11_52_PER_100000,Gizona,,100.000 biztanleko,15.5
2023,EU_SDG_11_52_NR,Gizona,,NR,284.0
2018,EU_SDG_11_52_NR,Gizona,,NR,417.0
2022,EU_SDG_11_52_PER_100000,Gizona,,100.000 biztanleko,18.8
2020,EU_SDG_11_52_PER_100000,Gizona,,100.000 biztanleko,15.2
2022,EU_SDG_11_52_PER_100000,Gizona,Araba / Álava,100.000 biztanleko,16.0
2018,EU_SDG_11_52_PER_100000,Gizona,Araba / Álava,100.000 biztanleko,17.9
2015,EU_SDG_11_52_PER_100000,Gizona,Araba / Álava,100.000 biztanleko,17.6
2023,EU_SDG_11_52_PER_100000,Gizona,Araba / Álava,100.000 biztanleko,10.6
2019,EU_SDG_11_52_NR,Gizona,Araba / Álava,NR,45.0
2021,EU_SDG_11_52_PER_100000,Gizona,Araba / Álava,100.000 biztanleko,11.9
2023,EU_SDG_11_52_NR,Gizona,Araba / Álava,NR,36.0
2016,EU_SDG_11_52_PER_100000,Gizona,Araba / Álava,100.000 biztanleko,12.3
2017,EU_SDG_11_52_PER_100000,Gizona,Araba / Álava,100.000 biztanleko,11.9
2019,EU_SDG_11_52_PER_100000,Gizona,Araba / Álava,100.000 biztanleko,13.6
2020,EU_SDG_11_52_PER_100000,Gizona,Araba / Álava,100.000 biztanleko,13.4
2022,EU_SDG_11_52_NR,Gizona,Araba / Álava,NR,54.0
2016,EU_SDG_11_52_NR,Gizona,Araba / Álava,NR,40.0
2020,EU_SDG_11_52_NR,Gizona,Araba / Álava,NR,45.0
2021,EU_SDG_11_52_NR,Gizona,Araba / Álava,NR,40.0
2018,EU_SDG_11_52_NR,Gizona,Araba / Álava,NR,59.0
2017,EU_SDG_11_52_NR,Gizona,Araba / Álava,NR,39.0
2015,EU_SDG_11_52_NR,Gizona,Araba / Álava,NR,57.0
2021,EU_SDG_11_52_PER_100000,Gizona,Bizkaia,100.000 biztanleko,19.0
2018,EU_SDG_11_52_NR,Gizona,Bizkaia,NR,244.0
2017,EU_SDG_11_52_NR,Gizona,Bizkaia,NR,188.0
2017,EU_SDG_11_52_PER_100000,Gizona,Bizkaia,100.000 biztanleko,18.0
2021,EU_SDG_11_52_NR,Gizona,Bizkaia,NR,195.0
2015,EU_SDG_11_52_NR,Gizona,Bizkaia,NR,246.0
2015,EU_SDG_11_52_PER_100000,Gizona,Bizkaia,100.000 biztanleko,23.0
2016,EU_SDG_11_52_PER_100000,Gizona,Bizkaia,100.000 biztanleko,16.9
2020,EU_SDG_11_52_PER_100000,Gizona,Bizkaia,100.000 biztanleko,18.5
2022,EU_SDG_11_52_PER_100000,Gizona,Bizkaia,100.000 biztanleko,22.1
