Year,Series,Lurralde historikoa,Units,Progress,Value
2023,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,,%,70.5,29.5
2021,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,,%,71.4,28.6
2016,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,,%,69.8,30.2
2010,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,,%,67.5,32.5
2013,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,,%,69.4,30.6
2018,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,,%,68.1,31.9
2018,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Araba / Álava,%,57.7,42.3
2011,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Araba / Álava,%,70.4,29.6
2020,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Araba / Álava,%,74.9,25.1
2015,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Araba / Álava,%,74.5,25.5
2013,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Araba / Álava,%,79.9,20.1
2017,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Araba / Álava,%,61.3,38.7
2016,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Araba / Álava,%,74.0,26.0
2023,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Araba / Álava,%,69.8,30.2
2022,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Araba / Álava,%,75.4,24.6
2010,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Araba / Álava,%,65.4,34.6
2012,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Araba / Álava,%,88.3,11.7
2014,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Araba / Álava,%,80.1,19.9
2019,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Araba / Álava,%,76.7,23.3
2024,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Araba / Álava,%,68.5,31.5
2021,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Araba / Álava,%,75.7,24.3
2017,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Bizkaia,%,70.7,29.3
2021,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Bizkaia,%,70.5,29.5
2024,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Bizkaia,%,70.1,29.9
2015,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Bizkaia,%,67.7,32.3
2023,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Bizkaia,%,68.3,31.7
2022,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Bizkaia,%,68.9,31.1
2020,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Bizkaia,%,67.2,32.8
2019,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Bizkaia,%,65.5,34.5
2016,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Bizkaia,%,70.1,29.9
2014,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Bizkaia,%,74.8,25.2
2012,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Bizkaia,%,72.2,27.8
2011,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Bizkaia,%,70.7,29.3
2018,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Bizkaia,%,72.2,27.8
2010,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Bizkaia,%,65.1,34.9
2013,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Bizkaia,%,69.1,30.9
2021,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Gipuzkoa,%,70.9,29.1
2019,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Gipuzkoa,%,70.4,29.6
2018,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Gipuzkoa,%,66.2,33.8
2024,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Gipuzkoa,%,70.6,29.4
2017,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Gipuzkoa,%,66.3,33.7
2013,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Gipuzkoa,%,66.2,33.8
2016,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Gipuzkoa,%,66.8,33.2
2012,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Gipuzkoa,%,73.0,27.0
2010,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Gipuzkoa,%,71.6,28.4
2022,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Gipuzkoa,%,75.1,24.9
2011,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Gipuzkoa,%,74.6,25.4
2020,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Gipuzkoa,%,73.1,26.9
2014,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Gipuzkoa,%,67.6,32.4
2015,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Gipuzkoa,%,73.9,26.1
2023,Emakumeen proportzioa goi-zuzendaritza kargudunen artean,Gipuzkoa,%,73.8,26.2
2020,Emakumeen proportzioa enpresarien artean,,%,65.6,34.4
2013,Emakumeen proportzioa enpresarien artean,,%,65.3,34.7
2019,Emakumeen proportzioa enpresarien artean,,%,64.9,35.1
2016,Emakumeen proportzioa enpresarien artean,,%,65.3,34.7
2011,Emakumeen proportzioa enpresarien artean,,%,65.5,34.5
2022,Emakumeen proportzioa enpresarien artean,,%,66.9,33.1
2015,Emakumeen proportzioa enpresarien artean,,%,66.3,33.7
2012,Emakumeen proportzioa enpresarien artean,,%,64.0,36.0
2010,Emakumeen proportzioa enpresarien artean,,%,67.4,32.6
2024,Emakumeen proportzioa enpresarien artean,,%,62.8,37.2
2017,Emakumeen proportzioa enpresarien artean,,%,65.5,34.5
2023,Emakumeen proportzioa enpresarien artean,,%,64.9,35.1
2018,Emakumeen proportzioa enpresarien artean,,%,64.6,35.4
2021,Emakumeen proportzioa enpresarien artean,,%,66.5,33.5
2014,Emakumeen proportzioa enpresarien artean,,%,64.8,35.2
2024,Emakumeen proportzioa enpresarien artean,Araba / Álava,%,72.7,27.3
2022,Emakumeen proportzioa enpresarien artean,Araba / Álava,%,69.3,30.7
2010,Emakumeen proportzioa enpresarien artean,Araba / Álava,%,64.8,35.2
2023,Emakumeen proportzioa enpresarien artean,Araba / Álava,%,72.3,27.7
2015,Emakumeen proportzioa enpresarien artean,Araba / Álava,%,63.3,36.7
2018,Emakumeen proportzioa enpresarien artean,Araba / Álava,%,64.0,36.0
2019,Emakumeen proportzioa enpresarien artean,Araba / Álava,%,65.4,34.6
2014,Emakumeen proportzioa enpresarien artean,Araba / Álava,%,66.7,33.3
2017,Emakumeen proportzioa enpresarien artean,Araba / Álava,%,67.2,32.8
2013,Emakumeen proportzioa enpresarien artean,Araba / Álava,%,68.2,31.8
2016,Emakumeen proportzioa enpresarien artean,Araba / Álava,%,65.1,34.9
2021,Emakumeen proportzioa enpresarien artean,Araba / Álava,%,68.7,31.3
2020,Emakumeen proportzioa enpresarien artean,Araba / Álava,%,69.1,30.9
2011,Emakumeen proportzioa enpresarien artean,Araba / Álava,%,68.2,31.8
2012,Emakumeen proportzioa enpresarien artean,Araba / Álava,%,66.4,33.6
2017,Emakumeen proportzioa enpresarien artean,Bizkaia,%,66.2,33.8
2014,Emakumeen proportzioa enpresarien artean,Bizkaia,%,65.1,34.9
2022,Emakumeen proportzioa enpresarien artean,Bizkaia,%,65.4,34.6
2016,Emakumeen proportzioa enpresarien artean,Bizkaia,%,66.0,34.0
2013,Emakumeen proportzioa enpresarien artean,Bizkaia,%,64.3,35.7
2012,Emakumeen proportzioa enpresarien artean,Bizkaia,%,63.1,36.9
2024,Emakumeen proportzioa enpresarien artean,Bizkaia,%,62.3,37.7
2019,Emakumeen proportzioa enpresarien artean,Bizkaia,%,65.1,34.9
2015,Emakumeen proportzioa enpresarien artean,Bizkaia,%,67.0,33.0
2018,Emakumeen proportzioa enpresarien artean,Bizkaia,%,65.0,35.0
2011,Emakumeen proportzioa enpresarien artean,Bizkaia,%,63.4,36.6
2023,Emakumeen proportzioa enpresarien artean,Bizkaia,%,63.0,37.0
2021,Emakumeen proportzioa enpresarien artean,Bizkaia,%,66.5,33.5
2020,Emakumeen proportzioa enpresarien artean,Bizkaia,%,64.2,35.8
2010,Emakumeen proportzioa enpresarien artean,Bizkaia,%,66.5,33.5
2012,Emakumeen proportzioa enpresarien artean,Gipuzkoa,%,64.4,35.6
2024,Emakumeen proportzioa enpresarien artean,Gipuzkoa,%,60.0,40.0
