Year,Series,Institucion,Territorio,Units,Value,Progress
2015,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.7,1.3
2018,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.7,1.3
2020,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.7,1.3
2012,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.66,1.3399999999999999
2023,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.68,1.3199999999999998
2011,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.69,1.31
2013,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.6,1.4
2011,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.62,1.38
2010,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.68,1.3199999999999998
2020,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.6,1.4
2015,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.63,1.37
2017,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.62,1.38
2014,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.61,1.3900000000000001
2018,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.62,1.38
2023,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.57,1.4300000000000002
2012,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.6,1.4
2016,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.62,1.38
2022,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.6,1.4
2019,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.63,1.37
2024,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.58,1.42
2021,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.61,1.3900000000000001
2018,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.47,1.47
2016,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.54,1.54
2011,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.49,1.49
2010,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.5,1.5
2015,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.53,1.53
2017,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.55,1.55
2022,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.57,1.57
2021,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.57,1.57
2019,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.56,1.56
2020,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.56,1.56
2024,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.6,1.6
2023,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.57,1.57
2014,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.53,1.53
2012,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.51,1.51
2013,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.53,1.53
2017,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.55,1.55
2013,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.55,1.55
2022,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.57,1.57
2010,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.53,1.53
2012,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.54,1.54
2019,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.55,1.55
2018,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.56,1.56
2024,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.59,1.59
2020,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.55,1.55
2021,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.55,1.55
2016,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.55,1.55
2011,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.53,1.53
2015,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.54,1.54
2014,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.54,1.54
2023,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.57,1.57
2011,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.46,1.46
2024,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.57,1.57
2022,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.56,1.56
2023,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.54,1.54
2016,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.51,1.51
2015,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.5,1.5
2017,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.52,1.52
2010,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.46,1.46
2013,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.49,1.49
2014,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.5,1.5
2012,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.48,1.48
2021,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.55,1.55
2018,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.42,1.42
2019,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.53,1.53
2020,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.54,1.54
2023,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.61,1.61
2019,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.61,1.61
2015,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.58,1.58
2022,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.61,1.61
