Year,Series,Sexo,Territorio,Units,Value
2019,EU_SDG_11_52_PER_100000,,,PER_100000,31.3
2017,EU_SDG_11_52_PER_100000,,,PER_100000,29
2016,EU_SDG_11_52_PER_100000,,,PER_100000,27.2
2015,EU_SDG_11_52_PER_100000,,,PER_100000,39.5
2020,EU_SDG_11_52_PER_100000,,,PER_100000,29.9
2021,EU_SDG_11_52_PER_100000,,,PER_100000,30
2023,EU_SDG_11_52_PER_100000,,,PER_100000,27.8
2018,EU_SDG_11_52_PER_100000,,,PER_100000,41.1
2022,EU_SDG_11_52_PER_100000,,,PER_100000,37.1
2020,EU_SDG_11_52_PER_100000,,ES211,PER_100000,26.3
2015,EU_SDG_11_52_PER_100000,,ES211,PER_100000,34.8
2019,EU_SDG_11_52_PER_100000,,ES211,PER_100000,26.9
2021,EU_SDG_11_52_PER_100000,,ES211,PER_100000,23
2023,EU_SDG_11_52_PER_100000,,ES211,PER_100000,21
2018,EU_SDG_11_52_PER_100000,,ES211,PER_100000,35.5
2022,EU_SDG_11_52_PER_100000,,ES211,PER_100000,31.4
2017,EU_SDG_11_52_PER_100000,,ES211,PER_100000,23.7
2016,EU_SDG_11_52_PER_100000,,ES211,PER_100000,23.9
2019,EU_SDG_11_52_PER_100000,,ES213,PER_100000,36.2
2017,EU_SDG_11_52_PER_100000,,ES213,PER_100000,35.4
2018,EU_SDG_11_52_PER_100000,,ES213,PER_100000,46.1
2015,EU_SDG_11_52_PER_100000,,ES213,PER_100000,45.5
2016,EU_SDG_11_52_PER_100000,,ES213,PER_100000,33.2
2022,EU_SDG_11_52_PER_100000,,ES213,PER_100000,43.5
2021,EU_SDG_11_52_PER_100000,,ES213,PER_100000,36.7
2020,EU_SDG_11_52_PER_100000,,ES213,PER_100000,36.2
2023,EU_SDG_11_52_PER_100000,,ES213,PER_100000,34.6
2019,EU_SDG_11_52_PER_100000,,ES212,PER_100000,25.6
2015,EU_SDG_11_52_PER_100000,,ES212,PER_100000,31.9
2022,EU_SDG_11_52_PER_100000,,ES212,PER_100000,29.3
2017,EU_SDG_11_52_PER_100000,,ES212,PER_100000,21
2018,EU_SDG_11_52_PER_100000,,ES212,PER_100000,35.5
2021,EU_SDG_11_52_PER_100000,,ES212,PER_100000,22.5
2023,EU_SDG_11_52_PER_100000,,ES212,PER_100000,20.2
2020,EU_SDG_11_52_PER_100000,,ES212,PER_100000,21.1
2016,EU_SDG_11_52_PER_100000,,ES212,PER_100000,18.7
2016,EU_SDG_11_52_PER_100000,F,,PER_100000,26.5
2021,EU_SDG_11_52_PER_100000,F,,PER_100000,29
2020,EU_SDG_11_52_PER_100000,F,,PER_100000,29.3
2017,EU_SDG_11_52_PER_100000,F,,PER_100000,28.6
2018,EU_SDG_11_52_PER_100000,F,,PER_100000,40.3
2015,EU_SDG_11_52_PER_100000,F,,PER_100000,38.9
