Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value,Progress
2012,EU_XPD_LOCALGBPC,,,ES01051,PT,ES01051,88.07,111.93
2011,EU_XPD_LOCALGBPC,,,ES01051,PT,ES01051,82.75,117.25
2022,EU_XPD_LOCALGBPC,,,ES01051,PT,ES01051,97.66,102.34
2015,EU_XPD_LOCALGBPC,,,ES01051,PT,ES01051,79.31,120.69
2014,EU_XPD_LOCALGBPC,,,ES01051,PT,ES01051,84.5,115.5
2010,EU_XPD_LOCALGBPC,,,ES01051,PT,ES01051,76.82,123.18
2019,EU_XPD_LOCALGBPC,,,ES01051,PT,ES01051,90.91,109.09
2017,EU_XPD_LOCALGBPC,,,ES01051,PT,ES01051,82.52,117.48
2016,EU_XPD_LOCALGBPC,,,ES01051,PT,ES01051,77.02,122.98
2020,EU_XPD_LOCALGBPC,,,ES01051,PT,ES01051,69.36,130.64
2018,EU_XPD_LOCALGBPC,,,ES01051,PT,ES01051,93.02,106.98
2023,EU_XPD_LOCALGBPC,,,ES01051,PT,ES01051,91.36,108.64
2020,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,117.81,117.81
2022,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,110.48,110.48
2010,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,102.27,102.27
2021,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,87.93,112.07
2015,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,71.84,128.16
2018,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,109.51,109.51
2016,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,131.32,131.32
2014,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,73,127.0
2012,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,65.24,134.76
2023,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,105.32,105.32
2019,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,87.75,112.25
2011,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,78.47,121.53
2013,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,90.63,109.37
2017,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,83.8,116.2
2023,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,103.63,103.63
