Year,Series,Territorio,Units,Value
2012,EU_SELF_EMP,,PT,36
2010,EU_SELF_EMP,,PT,32.6
2024,EU_SELF_EMP,,PT,37.2
2017,EU_SELF_EMP,,PT,34.5
2023,EU_SELF_EMP,,PT,35.1
2018,EU_SELF_EMP,,PT,35.4
2021,EU_SELF_EMP,,PT,33.5
2014,EU_SELF_EMP,,PT,35.2
2024,EU_SELF_EMP,ES211,PT,27.3
2022,EU_SELF_EMP,ES211,PT,30.7
2010,EU_SELF_EMP,ES211,PT,35.2
2023,EU_SELF_EMP,ES211,PT,27.7
2015,EU_SELF_EMP,ES211,PT,36.7
2018,EU_SELF_EMP,ES211,PT,36
2019,EU_SELF_EMP,ES211,PT,34.6
2014,EU_SELF_EMP,ES211,PT,33.3
2017,EU_SELF_EMP,ES211,PT,32.8
2013,EU_SELF_EMP,ES211,PT,31.8
2016,EU_SELF_EMP,ES211,PT,34.9
2021,EU_SELF_EMP,ES211,PT,31.3
2020,EU_SELF_EMP,ES211,PT,30.9
2011,EU_SELF_EMP,ES211,PT,31.8
2012,EU_SELF_EMP,ES211,PT,33.6
2017,EU_SELF_EMP,ES213,PT,33.8
2014,EU_SELF_EMP,ES213,PT,34.9
2022,EU_SELF_EMP,ES213,PT,34.6
2016,EU_SELF_EMP,ES213,PT,34
2013,EU_SELF_EMP,ES213,PT,35.7
2012,EU_SELF_EMP,ES213,PT,36.9
2024,EU_SELF_EMP,ES213,PT,37.7
2019,EU_SELF_EMP,ES213,PT,34.9
2015,EU_SELF_EMP,ES213,PT,33
2018,EU_SELF_EMP,ES213,PT,35
2011,EU_SELF_EMP,ES213,PT,36.6
2023,EU_SELF_EMP,ES213,PT,37
2021,EU_SELF_EMP,ES213,PT,33.5
2020,EU_SELF_EMP,ES213,PT,35.8
2010,EU_SELF_EMP,ES213,PT,33.5
2012,EU_SELF_EMP,ES212,PT,35.6
2024,EU_SELF_EMP,ES212,PT,40
2022,EU_SELF_EMP,ES212,PT,32
2016,EU_SELF_EMP,ES212,PT,35.6
2019,EU_SELF_EMP,ES212,PT,35.6
2011,EU_SELF_EMP,ES212,PT,32.6
2018,EU_SELF_EMP,ES212,PT,35.7
2023,EU_SELF_EMP,ES212,PT,35.3
2014,EU_SELF_EMP,ES212,PT,36.4
2010,EU_SELF_EMP,ES212,PT,30.5
2020,EU_SELF_EMP,ES212,PT,33.4
2021,EU_SELF_EMP,ES212,PT,34.3
2015,EU_SELF_EMP,ES212,PT,33.2
2013,EU_SELF_EMP,ES212,PT,34.5
2017,EU_SELF_EMP,ES212,PT,36.2
