Year,Series,Province,Units,Progress,Value
2019,Proportion of seats held by women in Provincial Assemblies,Bizkaia,%,51.0,51.0
2017,Proportion of seats held by women in Provincial Assemblies,Bizkaia,%,51.0,49.0
2015,Proportion of seats held by women in Provincial Assemblies,Bizkaia,%,51.0,49.0
2013,Proportion of seats held by women in Provincial Assemblies,Bizkaia,%,54.9,45.1
2011,Proportion of seats held by women in Provincial Assemblies,Bizkaia,%,54.9,45.1
2012,Proportion of seats held by women in Provincial Assemblies,Bizkaia,%,54.9,45.1
2010,Proportion of seats held by women in Provincial Assemblies,Bizkaia,%,60.8,39.2
2024,Proportion of seats held by women in Provincial Assemblies,Bizkaia,%,53.6,46.4
2023,Proportion of seats held by women in Provincial Assemblies,Bizkaia,%,53.6,46.4
2022,Proportion of seats held by women in Provincial Assemblies,Bizkaia,%,51.0,51.0
2021,Proportion of seats held by women in Provincial Assemblies,Bizkaia,%,51.0,51.0
2023,Proportion of women among Provincial Deputies,,%,66.7,66.7
2022,Proportion of women among Provincial Deputies,,%,51.7,51.7
2021,Proportion of women among Provincial Deputies,,%,55.2,55.2
2019,Proportion of women among Provincial Deputies,,%,55.2,55.2
2018,Proportion of women among Provincial Deputies,,%,50.0,50.0
2017,Proportion of women among Provincial Deputies,,%,50.0,50.0
2015,Proportion of women among Provincial Deputies,,%,50.0,50.0
2014,Proportion of women among Provincial Deputies,,%,57.7,42.3
2013,Proportion of women among Provincial Deputies,,%,57.7,42.3
2012,Proportion of women among Provincial Deputies,,%,57.7,42.3
2011,Proportion of women among Provincial Deputies,,%,57.7,42.3
2010,Proportion of women among Provincial Deputies,,%,63.6,36.4
2016,Proportion of women among Provincial Deputies,,%,50.0,50.0
2020,Proportion of women among Provincial Deputies,,%,55.2,55.2
2024,Proportion of women among Provincial Deputies,,%,66.7,66.7
2025,Proportion of women among Provincial Deputies,,%,66.7,66.7
2025,Proportion of women among Provincial Deputies,Araba/Álava,%,60.0,60.0
2024,Proportion of women among Provincial Deputies,Araba/Álava,%,50.0,50.0
2023,Proportion of women among Provincial Deputies,Araba/Álava,%,50.0,50.0
2022,Proportion of women among Provincial Deputies,Araba/Álava,%,55.6,55.6
2021,Proportion of women among Provincial Deputies,Araba/Álava,%,66.7,66.7
2020,Proportion of women among Provincial Deputies,Araba/Álava,%,66.7,66.7
2019,Proportion of women among Provincial Deputies,Araba/Álava,%,66.7,66.7
2018,Proportion of women among Provincial Deputies,Araba/Álava,%,50.0,50.0
2017,Proportion of women among Provincial Deputies,Araba/Álava,%,50.0,50.0
2016,Proportion of women among Provincial Deputies,Araba/Álava,%,50.0,50.0
2015,Proportion of women among Provincial Deputies,Araba/Álava,%,50.0,50.0
2014,Proportion of women among Provincial Deputies,Araba/Álava,%,50.0,50.0
2013,Proportion of women among Provincial Deputies,Araba/Álava,%,50.0,50.0
2012,Proportion of women among Provincial Deputies,Araba/Álava,%,50.0,50.0
2011,Proportion of women among Provincial Deputies,Araba/Álava,%,50.0,50.0
2010,Proportion of women among Provincial Deputies,Araba/Álava,%,60.0,40.0
2025,Proportion of women among Provincial Deputies,Gipuzkoa,%,60.0,60.0
